angle	Normangle	Sxx	Syy	Szz	Sxy	Szx	Syz	Srr	Stt	Srt	S13D   S23D	S33D	S12D	S22D	Smises3D	Smises2D	Saverage3D	Saverage2D	I13D	I23D	I33D	I12D	I22D
0.000000	0.000000	327.341000	216.561000	217.561000	-0.003757	0.000000	0.000000	327.341000	216.561000	-0.003757	327.341000	217.561000	217.561000	327.341000	216.561000	110.283401	288.377362	253.821000	271.951000	761.463000	189221.157309	15422745.754349	543.902000	70889.294287
1.799998	0.010000	326.049000	213.331000	215.752000	-10.122100	0.000000	0.000000	325.302217	214.077783	-13.640934	326.950753	215.752000	215.752000	326.950753	212.429247	112.896808	287.348356	251.710667	269.690000	755.132000	185826.216071	14984818.331314	539.380000	69453.902311
3.600000	0.020000	325.150000	208.652000	213.521000	-21.260200	0.000000	0.000000	322.026080	211.775920	-28.393092	328.908597	213.521000	213.521000	328.908597	204.893403	119.934360	287.699444	249.107667	266.901000	747.323000	181369.138538	14389436.777323	533.802000	67391.201696
5.400000	0.030000	320.969000	200.184000	208.461000	-30.316100	0.000000	0.000000	314.218612	206.934388	-41.095545	328.151051	208.461000	208.461000	328.151051	193.001949	128.120979	285.655513	243.204667	260.576500	729.614000	171973.867910	13202625.692658	521.153000	63333.792377
7.200000	0.040000	315.819000	188.996000	201.926000	-38.597800	0.000000	0.000000	304.227929	200.587071	-53.154978	326.642320	201.926000	201.926000	326.642320	178.172680	138.133296	283.270139	235.580333	252.407500	706.741000	160134.011249	11751838.280371	504.815000	58198.737559
8.999982	0.050000	307.483000	173.691000	192.469000	-45.548900	0.000000	0.000000	290.133533	191.040467	-63.991548	321.517693	192.469000	192.469000	321.517693	159.656307	148.204835	278.444673	224.547667	240.587000	673.643000	143943.406068	9879881.734243	481.174000	51332.327462
10.799982	0.060000	299.092000	158.376000	182.988000	-51.512100	0.000000	0.000000	275.188392	182.279608	-73.795217	315.933453	182.988000	182.988000	315.933453	141.534547	157.809792	274.099392	213.485333	228.734000	640.456000	128426.652530	8182399.574665	457.468000	44715.498146
12.599982	0.070000	286.701000	138.469000	170.068000	-55.737200	0.000000	0.000000	255.915468	169.254532	-81.989557	305.320198	170.068000	170.068000	305.320198	119.849802	166.153983	266.442926	198.412667	212.585000	595.238000	108900.376865	6223224.396318	425.170000	36592.565305
14.399982	0.080000	277.490000	121.705000	159.678000	-58.655900	0.000000	0.000000	239.597579	159.597421	-88.925530	297.105224	159.678000	159.678000	297.105224	102.089776	173.542027	261.462101	186.291000	199.597500	558.873000	94074.065055	4843258.222548	399.195000	30331.405845
16.199982	0.090000	266.026000	102.504000	147.412000	-60.121000	0.000000	0.000000	221.083712	147.446288	-94.571551	285.750939	147.412000	147.412000	285.750939	82.779061	179.600476	254.660122	171.980667	184.265000	515.942000	77979.938823	3486912.114180	368.530000	23654.194463
17.999982	0.100000	254.958000	84.926800	135.954000	-60.034100	0.000000	0.000000	203.434368	136.450432	-98.539502	274.018072	135.954000	135.954000	274.018072	65.866728	183.440583	247.741106	158.612933	169.942400	475.838800	64257.372011	2453789.412976	339.884800	18048.673912
19.800000	0.110000	243.378000	67.410400	124.315000	-58.716500	0.000000	0.000000	185.759577	125.028823	-101.324826	261.171213	124.315000	124.315000	261.171213	49.617187	185.828539	240.236731	145.034467	155.394200	435.103400	51594.240905	1610945.991912	310.788400	12958.580959
21.600000	0.120000	231.899000	51.150900	113.220000	-56.465800	0.000000	0.000000	168.751297	114.298603	-103.027091	248.088806	113.220000	113.220000	248.088806	34.961094	186.731724	232.587355	132.089967	141.524950	396.269900	40720.365667	982008.687127	283.049900	8673.455989
23.400000	0.130000	220.255000	35.703500	102.383000	-53.222600	0.000000	0.000000	152.348742	103.609758	-103.699504	234.503703	102.383000	102.383000	234.503703	21.454797	186.272772	224.546356	119.447167	127.979250	358.341500	31237.028347	515112.343457	255.958500	5031.229242
25.200000	0.140000	209.020000	22.023100	92.417100	-49.555600	0.000000	0.000000	136.936459	94.106641	-103.629722	221.340819	92.417100	92.417100	221.340819	9.702281	184.734860	216.652675	107.820067	115.521550	323.460200	23499.844148	198466.726883	231.043100	2147.510871
27.000000	0.150000	197.494000	9.087820	82.632700	-45.015600	0.000000	0.000000	122.243712	84.338108	-102.671407	207.696975	82.632700	82.632700	207.696975	-1.115155	182.012749	208.256792	96.404840	103.290910	289.214520	16838.799237	-19138.916643	206.581820	-231.614320
28.800000	0.160000	186.551000	-1.851210	73.880000	-40.355300	0.000000	0.000000	108.752264	75.947526	-101.160075	194.831105	73.880000	73.880000	194.831105	-10.131315	178.461011	200.089226	86.193263	92.349895	258.579790	11671.725170	-145831.385857	184.699790	-1973.895315
30.600000	0.170000	175.487000	-11.837000	65.459800	-35.301600	0.000000	0.000000	96.011985	67.638015	-99.083312	181.918822	65.459800	65.459800	181.918822	-18.268822	174.138277	191.707199	76.369933	81.825000	229.109800	7389.053688	-217551.886700	163.650000	-3323.442582
32.400000	0.180000	164.753000	-20.228700	57.809500	-30.175800	0.000000	0.000000	84.338958	60.185342	-96.536454	169.551082	57.809500	57.809500	169.551082	-25.026782	169.128022	183.350012	67.444600	72.262150	202.333800	4111.559604	-245304.087108	144.524300	-4243.317917
34.200000	0.190000	154.445000	-27.107600	50.935000	-25.066700	0.000000	0.000000	73.779257	53.558143	-93.629337	157.842349	50.935000	50.935000	157.842349	-30.504949	163.609827	175.099205	59.424133	63.668700	178.272400	1670.957738	-245250.636048	127.337400	-4814.972731
36.000000	0.200000	143.897000	-33.106600	44.316200	-19.906300	0.000000	0.000000	63.811744	46.978656	-90.321599	146.108095	44.316200	44.316200	146.108095	-35.317695	157.509468	166.598668	51.702200	55.395200	155.106600	-250.391675	-228680.508415	110.790400	-5160.201200
37.800000	0.210000	134.516000	-36.956400	39.024000	-15.074900	0.000000	0.000000	55.500232	42.059368	-86.791615	135.831214	39.024000	39.024000	135.831214	-38.271614	151.092758	158.471810	45.527867	48.779800	136.583600	-1391.313882	-202865.472297	97.559600	-5198.479712
39.600000	0.220000	124.216000	-40.718400	33.399200	-10.232800	0.000000	0.000000	47.150063	36.347537	-82.923915	124.848435	33.399200	33.399200	124.848435	-41.350835	144.174768	149.865307	38.965600	41.748800	116.896800	-2373.833928	-172426.274736	83.497600	-5162.586970
41.400000	0.230000	115.296000	-42.265700	29.212300	-5.856190	0.000000	0.000000	40.578996	32.451304	-78.893615	115.513361	29.212300	29.212300	115.513361	-42.483061	137.023660	141.617471	34.080867	36.515150	102.242600	-2773.978076	-143355.304910	73.030300	-4907.361109
43.200000	0.240000	106.053000	-43.449900	25.041200	-1.685060	0.000000	0.000000	34.313497	28.289603	-74.709751	106.071990	25.041200	25.041200	106.071990	-43.468890	129.657426	133.235292	29.214767	31.301550	87.644300	-3043.174924	-115460.758062	62.603100	-4610.831672
45.000000	0.250000	97.683600	-43.171600	21.804800	2.075150	0.000000	0.000000	29.331150	25.180850	-70.427600	97.714166	21.804800	21.804800	97.714166	-43.202166	122.158810	125.043788	25.438933	27.256000	76.316800	-3032.840296	-92048.168487	54.512000	-4221.463553
46.800000	0.260000	89.903900	-41.979400	19.169800	5.443330	0.000000	0.000000	25.254328	22.670172	-66.153319	90.128186	19.169800	19.169800	90.128186	-42.203686	114.702924	117.081094	22.364767	23.962250	67.094300	-2885.038541	-72916.966129	47.924500	-3803.741621
