angle    Normangle    Sxx    Syy    Szz    Sxy    Szx    Syz    Srr    Stt    Srt    S13D   S23D    S33D    S12D    S22D    Smises3D    Smises2D    Saverage3D    Saverage2D    I13D    I23D    I33D    I12D    I22D
0.000000    0.000000    -0.000105    -224.112000    -44.822400    -0.000411    0.000000    0.000000    -0.000105    -224.112000    -0.000411    -0.000105    -44.822400    -44.822400    -0.000105    -224.112000    205.401972    224.111948    -89.644835    -112.056052    -268.934505    10045.265899    -1.052954    -224.112105    0.023492
1.799998    0.010000    -0.014327    -15.295100    -6.117680    0.522553    0.000000    0.000000    0.003408    -15.312835    0.041779    0.003522    -6.117680    -6.117680    0.003522    -15.312949    13.353208    15.314710    -7.142369    -7.654714    -21.427107    93.604247    0.329919    -15.309427    -0.053929
3.600000    0.020000    -0.072436    -16.452900    -6.586870    1.228970    0.000000    0.000000    0.017012    -16.542348    0.192771    0.019256    -6.586870    -6.586870    0.019256    -16.544592    14.442268    16.554228    -7.704069    -8.262668    -23.112206    108.531664    2.098435    -16.525336    -0.318578
5.400000    0.030000    -0.205559    -19.344300    -7.766690    2.132850    0.000000    0.000000    0.024597    -19.574456    0.301950    0.029248    -7.766690    -7.766690    0.029248    -19.579107    17.099670    19.593748    -9.105516    -9.774930    -27.316549    151.265040    4.447627    -19.549859    -0.572654
7.200000    0.040000    -0.374673    -22.284300    -8.995930    2.949340    0.000000    0.000000    0.014632    -22.673605    0.132330    0.015404    -8.995930    -8.995930    0.015404    -22.674377    19.788004    22.682083    -10.551634    -11.329487    -31.654903    203.489254    3.142107    -22.658973    -0.349281
8.999982    0.050000    -6.218240    -23.184700    -9.423740    39.317600    0.000000    0.000000    5.516346    -34.919286    34.771810    25.520898    -9.423740    -9.423740    25.520898    -54.923838    69.866809    71.201473    -12.942227    -14.701470    -38.826680    -1124.619979    13209.309516    -29.402940    -1401.705641
8.999982    0.050000    -0.556267    -248.274000    -50.898400    3.106670    0.000000    0.000000    -5.658315    -243.171952    -35.319801    -0.517312    -50.898400    -50.898400    -0.517312    -248.312955    226.840739    248.054704    -99.909556    -124.415134    -299.728667    12793.517697    -6538.165916    -248.830267    128.455235
10.799982    0.060000    -0.311447    -19.584100    -8.056160    1.630280    0.000000    0.000000    -0.387996    -19.507551    -2.031566    -0.174514    -8.056160    -8.056160    -0.174514    -19.721033    17.033144    19.634358    -9.317236    -9.947774    -27.951707    163.723306    -27.726051    -19.895547    3.441596
12.599982    0.070000    0.607146    -8.512740    -3.529680    -2.891000    0.000000    0.000000    -1.057762    -6.847832    -4.557382    1.446366    -3.529680    -3.529680    1.446366    -9.351960    9.361192    10.152708    -3.811758    -3.952797    -11.435274    14.377860    47.743712    -7.905594    -13.526357
14.399982    0.080000    3.259480    13.168900    5.510420    -13.042800    0.000000    0.000000    -2.411067    18.839447    -9.042550    22.166386    5.510420    5.510420    22.166386    -5.738006    24.316696    25.523798    7.312933    8.214190    21.938800    -36.663592    -700.875090    16.428380    -127.190866
16.199982    0.090000    9.559590    50.832400    21.636800    -33.573600    0.000000    0.000000    -5.217522    65.609512    -17.289612    69.604723    21.636800    21.636800    69.604723    -9.212733    68.792465    74.638741    27.342930    30.195995    82.028790    665.439695    -13874.591817    60.391990    -641.249714
17.999982    0.100000    -50.589800    116.918000    50.591000    157.675000    0.000000    0.000000    58.084700    8.243500    176.791077    211.702951    50.591000    50.591000    211.702951    -145.374751    309.729012    311.011610    38.973067    33.164100    116.919200    -27420.653895    -1557001.965012    66.328200    -30776.263861
17.999982    0.100000    25.742900    -487.061000    -107.530000    -82.778200    0.000000    0.000000    -71.881183    -389.436917    -217.678156    38.774041    -107.530000    -107.530000    38.774041    -500.092141    482.642035    520.563318    -189.616033    -230.659050    -568.848100    30214.942281    2085070.466595    -461.318100    -19390.593012
19.800000    0.110000    997.767000    257.347000    113.236000    -1137.670000    0.000000    0.000000    187.630557    1067.483443    -1112.570536    1823.946766    113.236000    113.236000    1823.946766    -568.832766    2135.081148    2165.149696    456.116667    627.557000    1368.350000    -895396.595847    -117484692.258464    1255.114000    -1037520.684751
21.600000    0.120000    698.681000    1927.030000    1095.180000    -118.705000    0.000000    0.000000    783.882394    1841.828606    333.899156    1938.396221    1095.180000    1095.180000    1938.396221    687.314779    1105.118185    1702.202439    1240.297000    1312.855500    3720.891000    4207914.543385    1459095577.500150    2625.711000    1332288.370405
23.400000    0.130000    521.760000    443.964000    380.221000    -101.494000    0.000000    0.000000    435.503571    530.220429    -97.832846    591.554624    380.221000    380.221000    591.554624    374.169376    214.423493    518.264383    448.648333    482.862000    1345.945000    588530.169608    84158733.848558    965.724000    221341.624604
25.200000    0.140000    379.354000    50.082200    266.386000    -79.496600    0.000000    0.000000    258.407789    171.028411    -177.527181    397.542302    266.386000    266.386000    397.542302    31.893898    320.848311    382.593687    231.940733    214.718100    695.822200    127074.965060    3377554.308572    429.436200    12679.173487
27.000000    0.150000    351.794000    72.465700    180.728000    -65.280300    0.000000    0.000000    241.409506    182.850194    -151.361468    366.297267    180.728000    180.728000    366.297267    57.962433    268.865865    341.030571    201.662567    212.129850    604.987700    97907.087959    3837123.079681    424.259700    21231.480898
28.800000    0.160000    324.312000    50.466200    160.904000    -56.236000    0.000000    0.000000    213.274433    161.503767    -145.740584    335.410613    160.904000    160.904000    335.410613    39.367587    257.745156    317.562245    178.560733    187.389100    535.682200    73507.618051    2124625.742473    374.778200    13204.306558
30.600000    0.170000    297.455000    29.378800    141.476000    -50.127400    0.000000    0.000000    184.063272    142.770528    -141.607542    306.521647    141.476000    141.476000    306.521647    20.312153    248.833897    296.887165    156.103267    163.416900    468.309800    52465.253412    880845.806585    326.833800    6226.114723
32.400000    0.180000    274.967000    7.441940    121.959000    -42.273000    0.000000    0.000000    159.908031    122.500909    -139.030924    281.487830    121.959000    121.959000    281.487830    0.921110    243.738899    281.028406    134.789313    141.204470    404.367940    34701.593300    31621.698675    282.408940    259.281387
34.200000    0.190000    255.881000    -11.828000    105.256000    -35.571000    0.000000    0.000000    138.228549    105.824451    -137.549325    260.526764    105.256000    105.256000    260.526764    -16.473764    240.474987    269.142037    116.436333    122.026500    349.309000    21396.186059    -451743.648711    244.053000    -4291.856509
36.000000    0.200000    237.251000    -23.824700    92.822300    -27.823600    0.000000    0.000000    120.589748    92.836552    -132.746838    240.183308    92.822300    92.822300    240.183308    -26.757008    231.594052    254.618431    102.082867    106.713150    306.248600    13384.133430    -596530.550908    213.426300    -6426.586617
37.800000    0.210000    219.133000    -34.295100    81.182300    -19.888000    0.000000    0.000000    104.668271    80.169629    -127.679040    220.684234    81.182300    81.182300    220.684234    -35.846334    222.445974    240.618394    88.673400    92.418950    266.020200    7094.845157    -642210.500459    184.837900    -7910.720692
39.600000    0.220000    204.383000    -43.920800    70.084900    -13.373800    0.000000    0.000000    90.357933    70.104267    -124.458829    205.101244    70.084900    70.084900    205.101244    -44.639044    216.519292    230.683090    76.849033    80.231100    230.547100    2090.453848    -641663.941435    160.462200    -9155.523393
41.400000    0.230000    187.967000    -51.044200    61.335400    -6.772380    0.000000    0.000000    76.720446    60.202354    -119.412067    188.158742    61.335400    61.335400    188.158742    -51.235942    207.444307    218.333057    66.086067    68.461400    198.258200    -1242.275565    -591303.327045    136.922800    -9640.490272
43.200000    0.240000    172.949000    -57.162500    52.321800    -0.802591    0.000000    0.000000    64.316653    51.469847    -114.879109    172.951799    52.321800    52.321800    172.951799    -57.165299    199.365118    207.525993    56.036100    57.893250    168.108300    -3828.683269    -517297.336521    115.786500    -9886.841365
45.000000    0.250000    210.198000    -60.315300    45.053400    -42.893300    0.000000    0.000000    32.048050    117.834650    -135.256650    216.836369    45.053400    45.053400    216.836369    -66.953669    247.580046    256.941230    64.978700    74.941350    194.936100    -7765.265378    -654084.838342    149.882700    -14517.990614
45.000000    0.250000    160.789000    -12.977200    39.444200    4.634740    0.000000    0.000000    78.540640    69.271160    -86.883100    160.912531    39.444200    39.444200    160.912531    -13.100731    154.590007    167.846786    62.418667    73.905900    187.256000    3722.246376    -83151.206706    147.811800    -2108.071826
46.800000    0.260000    145.887000    -60.910200    39.951500    10.078800    0.000000    0.000000    46.054860    38.921940    -103.827420    146.377055    39.951500    39.951500    146.377055    -61.400255    179.958312    184.888675    41.642767    42.488400    124.928300    -5592.637932    -359067.644229    84.976800    -8987.588557
48.600000    0.270000    134.061000    -62.269600    33.447000    14.599800    0.000000    0.000000    38.077002    33.714398    -99.221077    135.140752    33.447000    33.447000    135.140752    -63.349352    171.914912    175.605359    35.079467    35.895700    105.238400    -6159.872050    -286342.409502    71.791400    -8561.079006
50.400000    0.280000    123.882000    -60.500200    29.424400    18.499000    0.000000    0.000000    32.587342    30.794458    -94.024509    125.719682    29.424400    29.424400    125.719682    -62.337882    162.878399    165.917295    30.935400    31.690900    92.806200    -5972.127341    -230601.929266    63.381800    -7837.098777
52.200000    0.290000    112.456000    -56.684900    26.878600    22.203200    0.000000    0.000000    28.359380    27.411720    -87.435225    115.322059    26.878600    26.878600    115.322059    -59.550959    151.447824    153.990367    27.549900    27.885550    82.649700    -5368.490116    -184589.839266    55.771100    -6867.539205
54.000000    0.300000    104.044000    -54.026800    23.371500    25.046800    0.000000    0.000000    24.406241    25.610959    -82.907019    107.917807    23.371500    23.371500    107.917807    -57.900607    143.612291    145.764330    24.462900    25.008600    73.388700    -5079.529580    -146036.971288    50.017200    -6248.506569
55.800000    0.310000    96.330400    -48.751400    22.117200    27.449900    0.000000    0.000000    22.607685    24.971315    -77.551805    101.350310    22.117200    22.117200    101.350310    -53.771310    134.349671    136.429388    23.232067    23.789500    69.696200    -4397.424614    -120532.964592    47.579000    -5449.738873
57.600000    0.320000    88.712200    -43.067500    21.305200    29.467400    0.000000    0.000000    21.430717    24.213983    -72.165527    95.001294    21.305200    21.305200    95.001294    -49.356594    125.026804    127.083672    22.316633    22.822350    66.949900    -3716.470874    -99898.811652    45.644700    -4688.940336
59.400000    0.330000    83.420000    -37.970600    20.296600    31.553500    0.000000    0.000000    21.135059    24.314341    -68.388711    91.131884    20.296600    20.296600    91.131884    -45.682484    118.509595    120.644272    21.915333    22.724700    65.746000    -3240.662522    -84497.400885    45.449400    -4163.130814
61.200000    0.340000    77.958500    -31.525800    20.757700    32.797600    0.000000    0.000000    21.575969    24.856731    -63.794159    87.031595    20.757700    20.757700    87.031595    -40.598895    110.558589    112.943152    22.396800    23.216350    67.190400    -2569.550588    -73344.979962    46.432700    -3533.386645
63.000000    0.350000    72.400400    -25.683700    20.909900    33.492800    0.000000    0.000000    21.628401    25.088299    -59.362426    82.745978    20.909900    20.909900    82.745978    -36.029278    102.891525    105.481200    22.542200    23.358350    67.626600    -2004.436280    -62338.220781    46.716700    -2981.277805
64.800000    0.360000    67.510100    -20.481500    20.767500    34.329500    0.000000    0.000000    21.921656    25.106944    -55.781793    79.318825    20.767500    20.767500    79.318825    -32.290225    96.695294    99.475410    22.598700    23.514300    67.796100    -1584.556233    -53190.192078    47.028600    -2561.222683
66.600000    0.370000    61.931700    -15.112100    20.959200    34.252300    0.000000    0.000000    22.008597    24.811003    -51.528569    74.957417    20.959200    20.959200    74.957417    -28.137817    89.316717    92.301079    22.592933    23.409800    67.778800    -1127.836739    -44205.847242    46.819600    -2109.138099
68.399820    0.379999    56.983300    -11.964700    19.986800    34.094300    0.000000    0.000000    20.718294    24.300306    -48.452763    70.995153    19.986800    19.986800    70.995153    -25.976553    84.017837    86.944249    21.668467    22.509300    65.005400    -944.431628    -36859.844076    45.018600    -1844.209382
70.199820    0.389999    52.580100    -8.445390    19.415200    33.836300    0.000000    0.000000    20.125236    24.009474    -45.520885    67.629651    19.415200    19.415200    67.629651    -23.494941    78.960765    81.943496    21.183303    22.067355    63.549910    -732.070427    -30849.872290    44.134710    -1588.954648
71.999820    0.399999    47.274600    -4.392100    19.275200    32.544300    0.000000    0.000000    19.670951    23.211549    -41.513365    62.992344    19.275200    19.275200    62.992344    -20.109844    72.001195    75.094657    20.719233    21.441250    62.157700    -440.197469    -24417.172497    42.882500    -1266.766233
73.799820    0.409999    42.352300    -2.218090    18.022600    30.904800    0.000000    0.000000    17.810951    22.323259    -38.034804    58.168766    18.022600    18.022600    58.168766    -18.034556    66.025675    68.977521    19.385603    20.067105    58.156810    -325.725063    -18906.570253    40.134210    -1049.047876
75.599820    0.419999    37.304700    0.077550    16.971900    28.823900    0.000000    0.000000    16.266159    21.116090    -34.225750    53.002674    16.971900    16.971900    53.002674    -15.620424    59.454209    62.299320    18.118050    18.691125    54.354150    -193.476445    -14051.447522    37.382250    -827.924247
77.399820    0.429999    32.159500    2.022960    15.731100    26.331600    0.000000    0.000000    14.668692    19.513768    -30.241317    47.429422    15.731100    15.731100    47.429422    -13.246962    52.564890    55.256926    16.637853    17.091230    49.913560    -90.568080    -9883.783689    34.182460    -628.295776
79.199820    0.439999    27.923500    3.075150    14.093900    23.636400    0.000000    0.000000    12.648925    18.349725    -26.550231    42.202125    14.093900    14.093900    42.202125    -11.203475    46.271955    48.778557    15.030850    15.499325    45.092550    -35.918581    -6663.743257    30.998650    -472.810454
80.999820    0.449999    23.752100    4.255570    12.871600    20.740400    0.000000    0.000000    11.141963    16.865707    -22.737690    36.920922    12.871600    12.871600    36.920922    -8.913252    39.709703    42.091400    13.626423    14.003835    40.879270    31.418057    -4235.856509    28.007670    -329.085468
82.799820    0.459999    20.413400    4.775760    11.411200    17.617500    0.000000    0.000000    9.402816    15.786344    -19.008495    31.869181    11.411200    11.411200    31.869181    -6.680021    33.405556    35.681286    12.200120    12.594580    36.600360    74.551736    -2429.293933    25.189160    -212.886807
84.599820    0.469999    17.894900    5.088520    10.200800    14.522700    0.000000    0.000000    7.923318    15.060102    -15.465324    27.363372    10.200800    10.200800    27.363372    -4.379952    27.520818    29.795778    11.061407    11.491710    33.184220    114.599012    -1222.568519    22.983420    -119.850259
86.399820    0.479999    15.193800    6.032090    9.570800    11.326400    0.000000    0.000000    7.487860    13.738030    -11.811241    22.830619    9.570800    9.570800    22.830619    -1.604729    21.187279    23.673811    10.265563    10.612945    30.796690    166.511780    -350.645093    21.225890    -36.636968
88.199820    0.489999    13.697800    5.729020    8.369110    8.127710    0.000000    0.000000    6.247278    13.179542    -8.361876    18.765207    8.369110    8.369110    18.765207    0.661613    15.735700    18.443303    9.265310    9.713410    27.795930    175.000494    103.905014    19.426820    12.415300
89.999820    0.499999    149.467000    5.707310    7.762050    4.994770    0.000000    0.000000    5.707341    149.466969    -4.995222    149.640329    7.762050    7.762050    149.640329    5.533981    143.005331    146.951510    54.312120    77.587155    162.936360    2032.577529    6427.806204    155.174310    828.106776
89.999820    0.499999    13.319100    6.840050    31.261400    1.998150    0.000000    0.000000    6.840063    13.319087    -1.998170    31.261400    13.885771    13.885771    13.885771    6.273379    22.184028    12.044053    17.140183    10.079575    51.420550    717.313958    2723.202641    20.159150    87.110707
91.799820    0.509999    12.151500    6.571020    7.956040    -0.904502    0.000000    0.000000    6.633313    12.089207    1.077901    12.294443    7.956040    7.956040    12.294443    6.428077    5.271179    10.651004    8.892853    9.361260    26.678560    227.986744    628.762863    18.722520    79.029626
93.599820    0.519999    12.411700    5.595140    7.098670    -3.748340    0.000000    0.000000    6.091781    11.915059    4.145936    14.069624    7.098670    7.098670    14.069624    3.937216    8.979273    12.572225    8.368503    9.003420    25.105510    183.219761    393.231864    18.006840    55.395146
95.399820    0.529999    13.606700    5.453000    7.145860    -6.361640    0.000000    0.000000    6.717221    12.342479    7.012866    17.085720    7.145860    7.145860    17.085720    1.973980    13.302515    16.189242    8.735187    9.529850    26.205560    169.924819    241.007503    19.059700    33.726872
97.199820    0.539999    14.332300    5.640980    7.699070    -8.801660    0.000000    0.000000    7.966330    12.006950    9.605849    19.802646    7.699070    7.699070    19.802646    0.170634    17.155026    19.717883    9.224117    9.986640    27.672350    157.154680    26.015149    19.973280    3.378999
98.999820    0.549999    16.165200    4.748000    7.632110    -11.057200    0.000000    0.000000    8.444184    12.469016    12.280064    22.900465    7.632110    7.632110    22.900465    -1.987265    21.737688    23.955998    9.515103    10.456600    28.545310    114.102541    -347.332001    20.913200    -45.509302
100.799820    0.559999    18.431700    4.429660    8.237960    -13.008100    0.000000    0.000000    9.709805    13.151555    14.671862    26.203119    8.237960    8.237960    26.203119    -3.341759    25.785040    28.023834    10.366440    11.430680    31.099320    100.766468    -721.352860    22.861360    -87.564501
102.599820    0.569999    20.880300    4.024910    8.982630    -14.926400    0.000000    0.000000    11.182243    13.722967    17.094141    29.593884    8.982630    8.982630    29.593884    -4.688674    29.891656    32.195306    11.295947    12.452605    33.887840    84.958198    -1246.394605    24.905210    -138.756089
104.399820    0.579999    23.737000    3.095930    9.590480    -16.483300    0.000000    0.000000    12.313280    14.519650    19.416375    32.864154    9.590480    9.590480    32.864154    -6.031224    33.900974    36.257956    12.141137    13.416465    36.423410    59.129590    -1900.939480    26.832930    -198.211088
