angle    Normangle    Sxx    Syy    Szz    Sxy    Szx    Syz    Srr    Stt    Srt    S13D   S23D    S33D    S12D    S22D    Smises3D    Smises2D    Saverage3D    Saverage2D    I13D    I23D    I33D    I12D    I22D
0.000000    0.000000    326.866000    217.552000    217.767000    -0.003566    0.000000    0.000000    326.866000    217.552000    -0.003566    326.866000    217.767000    217.767000    326.866000    217.552000    109.206659    288.201150    254.061667    272.209000    762.185000    189666.626625    15485488.028184    544.418000    71110.352019
1.799998    0.010000    325.698000    214.668000    216.146000    -8.816190    0.000000    0.000000    325.034881    215.331119    -12.284606    326.393679    216.146000    216.146000    326.393679    213.972321    111.350432    287.189441    252.170667    270.183000    756.512000    186637.162494    15095466.545609    540.366000    69839.213058
3.600000    0.020000    324.928000    210.512000    214.176000    -18.574700    0.000000    0.000000    322.148871    213.291129    -25.598297    327.867940    214.176000    214.176000    327.867940    207.572060    117.133617    287.275691    249.872000    267.720000    749.616000    182734.621096    14576009.757728    535.440000    68056.223656
5.400000    0.030000    321.170000    202.950000    209.648000    -26.434800    0.000000    0.000000    315.169612    208.950388    -37.042677    326.811763    209.648000    209.648000    326.811763    197.308237    123.795759    285.050550    244.589333    262.060000    733.768000    174363.362609    13518659.204479    524.120000    64482.652849
7.200000    0.040000    316.659000    193.087000    203.898000    -33.558600    0.000000    0.000000    306.372195    203.373805    -47.869848    325.184375    203.898000    203.898000    325.184375    184.561625    132.020903    282.473564    237.881333    254.873000    713.644000    163952.746607    12237255.877821    509.746000    60016.556699
8.999982    0.050000    308.831000    179.301000    195.253000    -39.391000    0.000000    0.000000    293.488723    194.643277    -57.476522    319.869404    195.253000    195.253000    319.869404    168.262596    140.075613    277.140182    227.795000    244.066000    683.385000    149131.293646    10508917.948981    488.132000    53822.056250
10.799982    0.060000    301.091000    165.761000    186.741000    -44.293600    0.000000    0.000000    280.033806    186.818194    -66.092266    314.299205    186.741000    186.741000    314.299205    152.552795    147.651329    272.229909    217.864333    233.426000    653.593000    135127.631582    8953712.230195    466.852000    47947.222250
12.599982    0.070000    289.471000    147.873000    174.938000    -47.578400    0.000000    0.000000    262.474999    174.869001    -73.194944    303.972660    174.938000    174.938000    303.972660    133.371340    154.082025    263.905383    204.094000    218.672000    612.282000    117049.325708    7092203.624433    437.344000    40541.241036
14.399982    0.080000    281.121000    133.321000    165.777000    -49.750600    0.000000    0.000000    248.012579    166.429421    -79.198354    296.307094    165.777000    165.777000    296.307094    118.134906    159.770466    258.359322    193.406333    207.221000    580.219000    103709.162075    5802893.027373    414.442000    35004.210641
16.199982    0.090000    270.493000    116.398000    154.756000    -50.561200    0.000000    0.000000    231.406863    155.484137    -83.974324    285.601629    154.756000    154.756000    285.601629    101.289371    164.241085    250.797564    180.549000    193.445500    541.647000    88802.112865    4476844.904765    386.891000    28928.409269
17.999982    0.100000    260.362000    101.207000    144.628000    -50.002000    0.000000    0.000000    215.773666    145.795334    -87.226927    274.767363    144.628000    144.628000    274.767363    86.801637    166.750196    243.272216    168.732333    180.784500    506.197000    76143.258262    3449414.959272    361.569000    23850.256930
19.800000    0.110000    249.691000    86.061000    134.301000    -48.337000    0.000000    0.000000    200.104378    135.647622    -89.395142    262.903153    134.301000    134.301000    262.903153    72.848847    167.981428    235.101746    156.684333    167.876000    470.053000    64244.020934    2572158.481654    335.752000    19152.191582
21.600000    0.120000    239.256000    72.216500    124.589000    -45.872200    0.000000    0.000000    185.217846    126.254654    -90.612598    251.024273    124.589000    124.589000    251.024273    60.448227    167.957058    226.921135    145.353833    155.736250    436.061500    53980.019494    1890510.021324    311.472500    15173.972191
23.400000    0.130000    228.729000    59.179100    115.163000    -42.543500    0.000000    0.000000    170.973620    116.934480    -90.921309    238.805205    115.163000    115.163000    238.805205    49.102895    166.790735    218.433040    134.357033    143.954050    403.071100    44882.387492    1350404.444136    287.908100    11726.026972
25.200000    0.140000    218.634000    47.777200    106.564000    -38.893900    0.000000    0.000000    157.691447    108.719753    -90.615618    227.071179    106.564000    106.564000    227.071179    39.340021    164.748341    210.180810    124.325067    133.205600    372.975200    37322.828004    951934.601561    266.411200    8932.984888
27.000000    0.150000    208.425000    37.096500    98.208600    -34.528500    0.000000    0.000000    145.178790    100.342710    -89.599177    215.121895    98.208600    98.208600    215.121895    30.399605    161.847308    201.648072    114.576700    122.760750    343.730100    30651.943485    642246.993503    245.521500    6539.620700
28.800000    0.160000    198.801000    28.138900    90.775900    -30.128400    0.000000    0.000000    133.754364    93.185536    -88.190992    203.963644    90.775900    90.775900    203.963644    22.976256    158.374069    193.501306    105.905267    113.469950    317.715800    25286.994641    425405.003953    226.939900    4686.320972
30.600000    0.170000    189.261000    19.972500    83.693500    -25.460400    0.000000    0.000000    123.083310    86.150190    -86.439963    193.007253    83.693500    83.693500    193.007253    16.226247    154.519984    185.427364    97.642333    104.616750    292.927000    20643.267287    262109.910166    209.233500    3131.783354
32.400000    0.180000    180.157000    13.073500    77.292300    -20.808600    0.000000    0.000000    113.357413    79.873087    -84.450706    182.709511    77.292300    77.292300    182.709511    10.520989    150.366359    177.682785    90.174267    96.615250    270.522800    16857.514481    148577.806146    193.230500    1922.284706
34.200000    0.190000    171.496000    7.200250    71.478600    -16.219000    0.000000    0.000000    104.508730    74.187520    -82.349775    173.081806    71.478600    71.478600    173.081806    5.614444    146.127711    170.343991    83.391617    89.348125    250.174850    13744.715888    69459.909456    178.696250    971.758113
