deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6473250188507755, 0.7581688070560676, 4.405493825906843, 3.6438311929439324, 0.7581688070560676, 4.402, 4.405494426216438, 3.6473250188507755, 0.7581688070560676, 4.405493825906843, 3.6438311929439324, 0.7581688070560676, 4.402, 4.405494426216438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.48625, -0.9447003, 1.7646874, -0.28113538, 2.2844326, -1.3620809, 1.6890591, -0.58329904, 0.0019989726, -0.00045961927, 0.0018887913, -0.0007997545, 0.0012654571, -0.00018408819, 0.0012142656, -0.00040103577, 0.0018421832, -0.0006054164, 0.0017090668, -0.0009161106, 0.0018818586, -0.0006157545, 0.0017463441, -0.00093318115, 0.0038411557, -0.0010650357, 0.0035978581, -0.0017158651, 0.0031473157, -0.0007998427, 0.0029606097, -0.0013342169
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.8834518621732568, 1.75638501269863, 5.639836874871887, 3.87661498730137, 1.75638501269863, 5.633, 5.639837141676151, 3.8834518621732568, 1.75638501269863, 5.639836874871887, 3.87661498730137, 1.75638501269863, 5.633, 5.639837141676151, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9315646, -1.1851737, 1.9192764, -0.09860128, 2.3494163, -2.1163533, 1.7698063, -0.7490861, 0.0022502886, -0.00048566936, 0.001948471, -0.001226024, 0.0013831237, -0.00016537681, 0.0012431489, -0.0006284595, -0.0012849922, -0.0010308704, -0.0015600761, -0.00052920805, -0.0012386198, -0.0010437036, -0.0015208896, -0.00055712764, 0.00096529647, -0.0015165397, 0.0003883948, -0.001755232, 0.00014450388, -0.0012090805, -0.00027774065, -0.0011855871
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.087052872166828, 2.9509800292528356, 6.038032901419664, 3.0760199707471645, 2.9509800292528356, 6.027, 6.038032901419664, 3.087052872166828, 2.9509800292528356, 6.038032901419664, 3.0760199707471645, 2.9509800292528356, 6.027, 6.038032901419664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.1963575, -1.3655078, 1.8240781, 0.06766207, 2.085373, -2.7807431, 1.613529, -0.85344195, 0.0023019593, -0.00051544164, 0.0017358344, -0.0015973652, 0.0013640919, -0.0001711304, 0.0010957732, -0.0008302493, -0.0050996747, -0.0013280162, -0.005080456, 0.0013997416, -0.005049724, -0.0013430017, -0.0050446903, 0.0013617885, -0.0027977154, -0.0018434578, -0.0033446215, -0.00019762362, -0.0036856323, -0.0015141321, -0.003948917, 0.0005315392
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.174666597883004, 4.522324811969506, 6.69699140985251, 2.1576751880304936, 4.522324811969506, 6.68, 6.696990342635453, 2.174666597883004, 4.522324811969506, 6.69699140985251, 2.1576751880304936, 4.522324811969506, 6.68, 6.696990342635453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.5666528, -1.5459292, 1.6853521, 0.17077668, 1.7385103, -3.476851, 1.4008278, -0.95250094, 0.0023903572, -0.00058518595, 0.0014549699, -0.0019847704, 0.0013619037, -0.0002170339, 0.0009037722, -0.0010416731, -0.008300635, -0.0017335176, -0.007472939, 0.004007594, -0.008245415, -0.0017508884, -0.007441804, 0.003958793, -0.005910278, -0.0023187036, -0.006017969, 0.0020228238, -0.0068835113, -0.0019679223, -0.0065380316, 0.0029171198
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.133542196719283, 5.927204010791215, 7.060746207510498, 1.1107959892087855, 5.927204010791215, 7.038, 7.060745407097705, 1.133542196719283, 5.927204010791215, 7.060746207510498, 1.1107959892087855, 5.927204010791215, 7.038, 7.060745407097705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 3.870659, -1.6278881, 1.4552933, 0.1794626, 1.2409772, -4.011483, 1.0729208, -0.99946296, 0.0024192566, -0.00066178804, 0.0010481086, -0.0022786474, 0.0013289656, -0.00029055588, 0.00063166395, -0.0012048134, -0.0123137925, -0.0020064698, -0.009452198, 0.008143178, -0.012254339, -0.0020251472, -0.00942829, 0.008085629, -0.009894536, -0.0026682578, -0.008404089, 0.005864531, -0.010925373, -0.002315703, -0.008796626, 0.0068808156
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.2730129664401242, 6.131701475366984, 6.404714441807108, 0.24829852463301627, 6.131701475366984, 6.38, 6.4047148086629715, 0.2730129664401242, 6.131701475366984, 6.404714441807108, 0.24829852463301627, 6.131701475366984, 6.38, 6.4047148086629715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 3.8521657, -1.5424098, 1.1180601, 0.0658085, 0.59031665, -4.1072783, 0.6160218, -0.93536425, 0.002269175, -0.0007174688, 0.0005132407, -0.0023238976, 0.0012120213, -0.00037450052, 0.00028168317, -0.0012368914, -0.017110066, -0.001930627, -0.010227004, 0.01385244, -0.017051363, -0.0019487174, -0.010213319, 0.013792556, -0.014840892, -0.0026480958, -0.009713763, 0.011528542, -0.015839342, -0.002323218, -0.009931636, 0.012555664
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.853719661063328e-05, 8.958471846520492, 8.958500383717103, -0.037471846520492846, 8.958471846520492, 8.921, 8.958449434962278, 2.853719661063328e-05, 8.958471846520492, 8.958500383717103, -0.037471846520492846, 8.958471846520492, 8.921, 8.958449434962278, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 4.6936975, -1.7213289, 1.0518711, -0.24308725, -0.012180805, -4.999362, 0.1313338, -1.0715762, 0.0026357789, -0.00096207834, -2.5685877e-06, -0.00280587, 0.0014098175, -0.0005137883, -6.1746687e-07, -0.0015005209, -0.022678645, -0.002340139, -0.0099555645, 0.02051058, -0.022605978, -0.0023650108, -0.009954083, 0.02043379, -0.020042866, -0.0033022172, -0.009958133, 0.01770471, -0.02119616, -0.002878799, -0.0099547, 0.018933268
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0002178525539600502, 11.525244130006591, 11.525461982560552, -0.03524413000659088, 11.525244130006591, 11.49, 11.525467178371674, 0.0002178525539600502, 11.525244130006591, 11.525461982560552, -0.03524413000659088, 11.525244130006591, 11.49, 11.525467178371674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 5.565455, -1.1019682, 1.1951177, -0.26579982, -0.118795395, -5.672258, -0.05423166, -1.2231169, 0.0031305589, -0.0005549409, -2.8945506e-06, -0.003179362, 0.001675576, -0.0002961296, -6.7055225e-07, -0.0017015412, -0.030536465, -0.002182267, -0.007451716, 0.0296936, -0.03044884, -0.002195133, -0.0074491706, 0.029605072, -0.027405906, -0.0027372078, -0.0074546104, 0.026514238, -0.028773265, -0.0024912625, -0.007449841, 0.02790353
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0001466448667918377, 10.140192756902017, 10.14033940176881, -0.030192756902017948, 10.140192756902017, 10.11, 10.140338965638938, 0.0001466448667918377, 10.140192756902017, 10.14033940176881, -0.030192756902017948, 10.140192756902017, 10.11, 10.140338965638938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.3213763, -0.10405993, 1.141903, -0.03499326, -0.10406016, -5.3213763, -0.03499331, -1.141903, 0.0029833242, -2.2392487e-06, -2.2393651e-06, -0.0029833242, 0.0015960932, -6.548362e-07, -6.548362e-07, -0.0015960932, -0.04101278, -0.0010357338, -0.0010357321, 0.04101278, -0.040930517, -0.0010315605, -0.0010315587, 0.040930517, -0.038029455, -0.0010379731, -0.0010379715, 0.038029455, -0.039334424, -0.0010322153, -0.0010322136, 0.039334424
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00013546258613166093, 7.322434500193223, 7.322569962779355, -0.02243450019322335, 7.322434500193223, 7.3, 7.322571103976623, 0.00013546258613166093, 7.322434500193223, 7.322569962779355, -0.02243450019322335, 7.322434500193223, 7.3, 7.322571103976623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 4.468288, 0.69007045, 0.963485, 0.12334368, -0.09632343, -4.520234, -0.045837633, -0.97026587, 0.0024979077, 0.0004382445, -2.1699816e-06, -0.0025360584, 0.0013363138, 0.00023502074, -5.979091e-07, -0.0013568252, -0.05205733, -0.00059122447, 0.0084574185, 0.051369127, -0.051989444, -0.00057609455, 0.008460531, 0.051299646, -0.04955942, -0.00015297996, 0.008455249, 0.04883307, -0.05065313, -0.0003410738, 0.008459933, 0.04994282
