deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.719688205064416, 0.7602106600919312, 4.479898865156347, 3.716789339908069, 0.7602106600919312, 4.477, 4.479898665053149, 3.719688205064416, 0.7602106600919312, 4.479898865156347, 3.716789339908069, 0.7602106600919312, 4.477, 4.479898665053149, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.5087802, -0.94182783, 1.781209, -0.28139874, 2.3071194, -1.3631644, 1.705284, -0.5864274, 0.0020175006, -0.0004573231, 0.001907437, -0.0008007107, 0.001277469, -0.00018221146, 0.0012264207, -0.0004012733, 0.0013140317, -0.00058166386, 0.0011930637, -0.0008010063, 0.0013540633, -0.0005918525, 0.0012307179, -0.0008179916, 0.0033315322, -0.001038987, 0.0031005007, -0.001601717, 0.0026315323, -0.000774064, 0.0024571386, -0.0012192649
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.292511091152527, 1.7866408830919354, 6.079151974244462, 4.285359116908065, 1.7866408830919354, 6.072, 6.0791517074401975, 4.292511091152527, 1.7866408830919354, 6.079151974244462, 4.285359116908065, 1.7866408830919354, 6.072, 6.0791517074401975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 3.050722, -1.1568727, 2.0076418, -0.08629859, 2.4710672, -2.1305132, 1.8570503, -0.7677481, 0.002347738, -0.00046059937, 0.0020486177, -0.0012357957, 0.0014456344, -0.00014664308, 0.001308297, -0.00063223555, -0.0029789319, -0.00090845936, -0.0031099916, 0.00016518222, -0.0029307476, -0.00092046015, -0.0030688178, 0.00013742509, -0.00063119386, -0.0013690587, -0.0010613739, -0.0010706134, -0.0014851132, -0.0010671032, -0.0017605207, -0.00049481046
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.151716613170499, 3.3665740950813685, 7.518290708251867, 4.139425904918632, 3.3665740950813685, 7.506, 7.518290708251867, 4.151716613170499, 3.3665740950813685, 7.518290708251867, 4.139425904918632, 3.3665740950813685, 7.506, 7.518290708251867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.5779111, -1.3549002, 2.0789604, 0.12074755, 2.4211116, -2.9623337, 1.8608063, -0.93490976, 0.0025959602, -0.00046954514, 0.0020133946, -0.0017046182, 0.0015455098, -0.00012804987, 0.0012744255, -0.00088364957, -0.008180899, -0.0011374843, -0.007653608, 0.0031053592, -0.0081252195, -0.0011513348, -0.0076123136, 0.0030655246, -0.0055849385, -0.0016070295, -0.0056402134, 0.0014007409, -0.0065797097, -0.0012793847, -0.006337888, 0.002181875
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.429744273558995, 5.245684533756169, 8.675428807315164, 3.4103154662438318, 5.245684533756169, 8.656, 8.675426672881049, 3.429744273558995, 5.245684533756169, 8.675428807315164, 3.4103154662438318, 5.245684533756169, 8.656, 8.675426672881049, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 4.076029, -1.45102, 2.0118625, 0.299313, 2.1897213, -3.7315667, 1.7335708, -1.0639133, 0.0027728742, -0.00046048092, 0.0018281536, -0.0021351185, 0.0015940368, -0.00012023805, 0.0011438159, -0.0011167349, -0.01436401, -0.0012720108, -0.011821103, 0.008258591, -0.014301533, -0.0012865706, -0.0117826015, 0.008207278, -0.0115911355, -0.0017324918, -0.00999295, 0.006123473, -0.012707496, -0.0014068086, -0.010638786, 0.0070905434
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.358044103688888, 6.964973348329432, 9.32301745201832, 2.3310266516705678, 6.964973348329432, 9.296, 9.32301505077994, 2.358044103688888, 6.964973348329432, 9.32301745201832, 2.3310266516705678, 6.964973348329432, 9.296, 9.32301505077994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.4760385, -1.4011222, 1.8282838, 0.4085395, 1.8038204, -4.3294687, 1.4881576, -1.1379426, 0.0028622728, -0.00042602327, 0.0015134811, -0.002466471, 0.0015931912, -0.00012147671, 0.00093102735, -0.0012985393, -0.021420168, -0.0013091762, -0.014771506, 0.0155672785, -0.021352515, -0.0013227828, -0.014738443, 0.015506706, -0.018557895, -0.0017351995, -0.013258025, 0.013100808, -0.019759323, -0.0014442595, -0.013807416, 0.014208167
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.8070716941931028, 6.319826229450291, 7.126897923643393, 0.7821737705497096, 6.319826229450291, 7.102, 7.1268968564263355, 0.8070716941931028, 6.319826229450291, 7.126897923643393, 0.7821737705497096, 6.319826229450291, 7.102, 7.1268968564263355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.1150594, -1.1751785, 1.3366591, 0.31102264, 1.0397949, -4.1513352, 0.937683, -1.0020695, 0.0024817958, -0.00041272887, 0.00088346377, -0.002355663, 0.0013424605, -0.00017168303, 0.00052254833, -0.0012484472, -0.023466118, -0.0013371715, -0.012891082, 0.01965367, -0.023404427, -0.0013488503, -0.012870351, 0.019594405, -0.020984322, -0.0017499004, -0.012007618, 0.017298007, -0.022061966, -0.0015205333, -0.0123478025, 0.018345958
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.48122091127218225, 8.773871043162089, 9.25509195443427, 0.44612895683791187, 8.773871043162089, 9.22, 9.255082416181816, 0.48122091127218225, 8.773871043162089, 9.25509195443427, 0.44612895683791187, 8.773871043162089, 9.22, 9.255082416181816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 4.8834634, -0.93856764, 1.3312707, 0.36294946, 0.7882778, -4.9099636, 0.7963823, -1.1268492, 0.0028447509, -0.000310997, 0.00068072043, -0.002779562, 0.0015193373, -0.00014771533, 0.00038083736, -0.0014782324, -0.03704229, -0.0011975036, -0.013794495, 0.034398798, -0.036970094, -0.001205183, -0.0137770185, 0.034328327, -0.03419754, -0.0015085007, -0.013113774, 0.031619236, -0.035450757, -0.0013528983, -0.013396181, 0.032850094
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.012362734111688985, 8.543367099712968, 8.555729833824657, -0.02336709971296891, 8.543367099712968, 8.52, 8.555732943761864, 0.012362734111688985, 8.543367099712968, 8.555729833824657, -0.02336709971296891, 8.543367099712968, 8.52, 8.555732943761864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 4.818158, -0.73066604, 1.0721986, 0.13329135, 0.11709905, -4.871838, 0.31745175, -1.0327637, 0.0027294904, -0.00035141537, 0.0001278948, -0.0027490444, 0.0014512055, -0.00023477315, 2.0792708e-05, -0.0014699288, -0.04501636, -0.0011491308, -0.008948684, 0.044132914, -0.044945527, -0.0011548062, -0.008941973, 0.044062175, -0.04228687, -0.0015005461, -0.008820789, 0.04138387, -0.04349432, -0.0013895794, -0.00892118, 0.042592246
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 7.180972291386987e-05, 7.066510513644018, 7.066582323366932, -0.023510513644017905, 7.066510513644018, 7.043, 7.066582017186892, 7.180972291386987e-05, 7.066510513644018, 7.066582323366932, -0.023510513644017905, 7.066510513644018, 7.043, 7.066582017186892, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 4.4421144, -0.06883076, 0.9524498, 0.006139014, -0.06883095, -4.4421144, 0.0061389725, -0.9524498, 0.0024907626, -1.8695137e-06, -1.8696301e-06, -0.0024907626, 0.0013324954, -5.4668635e-07, -5.4680277e-07, -0.0013324954, -0.05236872, -0.001107245, -0.0011072427, 0.05236872, -0.052300956, -0.0011062894, -0.0011062871, 0.052300956, -0.049877957, -0.0011091145, -0.0011091123, 0.049877957, -0.05096846, -0.0011068361, -0.0011068339, 0.05096846
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0001126499584455578, 4.903438161877111, 4.903550811835557, -0.014438161877111, 4.903438161877111, 4.889, 4.903554488536413, 0.0001126499584455578, 4.903438161877111, 4.903550811835557, -0.014438161877111, 4.903438161877111, 4.889, 4.903554488536413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 3.6587982, 0.55103034, 0.79274786, 0.073452316, -0.092684805, -3.6988983, -0.06532283, -0.79345906, 0.0020442829, 0.00035865838, -1.7760321e-06, -0.0020755045, 0.0010935888, 0.0001923319, -4.898757e-07, -0.0011103712, -0.05843614, -0.0010605766, 0.009102866, 0.05773253, -0.05838061, -0.0010493094, 0.00910432, 0.057675887, -0.056391858, -0.00070191827, 0.00910109, 0.055657025, -0.057287022, -0.0008569775, 0.00910383, 0.056565516
