deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6952225208182834, 0.7683030335360079, 4.463525554354291, 3.691696966463992, 0.7683030335360079, 4.46, 4.463525687756424, 3.6952225208182834, 0.7683030335360079, 4.463525554354291, 3.691696966463992, 0.7683030335360079, 4.46, 4.463525687756424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.5025492, -0.9510497, 1.7762489, -0.28300962, 2.2993817, -1.3711642, 1.7001195, -0.5871525, 0.0020120717, -0.0004627207, 0.001901153, -0.00080508355, 0.0012737457, -0.00018534338, 0.0012222101, -0.00040371122, 0.0018653927, -0.00061001076, 0.0017311259, -0.00092466536, 0.0019053284, -0.00062042056, 0.0017686471, -0.00094185176, 0.0038774642, -0.0010727315, 0.0036322789, -0.0017297489, 0.003179074, -0.00080576394, 0.0029908572, -0.001345563
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.033892114728077, 1.8268006611838914, 5.860692775911968, 4.027199338816109, 1.8268006611838914, 5.854, 5.860692375705571, 4.033892114728077, 1.8268006611838914, 5.860692775911968, 4.027199338816109, 1.8268006611838914, 5.854, 5.860692375705571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9882946, -1.2092943, 1.9562575, -0.10076224, 2.3944752, -2.158422, 1.803818, -0.76376504, 0.0022937413, -0.0004957627, 0.001985851, -0.0012503704, 0.0014097913, -0.00016897172, 0.0012669787, -0.00064095843, -0.0012739286, -0.0010545512, -0.001557779, -0.00055524474, -0.0012266561, -0.0010676554, -0.0015178393, -0.0005837268, 0.0010198129, -0.0015503139, 0.000428072, -0.0018056151, 0.00018313515, -0.0012366271, -0.00025086064, -0.0012246852
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.2404245031751997, 3.109873174514075, 6.350297677689275, 3.2291268254859253, 3.109873174514075, 6.339, 6.350297944493539, 3.2404245031751997, 3.109873174514075, 6.350297677689275, 3.2291268254859253, 3.109873174514075, 6.339, 6.350297944493539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2776523, -1.404084, 1.8696519, 0.0683836, 2.136488, -2.8547983, 1.6533579, -0.87560403, 0.002360078, -0.00053093047, 0.0017784226, -0.0016398382, 0.0013983729, -0.00017688959, 0.0011225818, -0.0008523774, -0.0052561583, -0.0013693979, -0.0052366657, 0.0014421458, -0.0052049328, -0.0013848305, -0.005200019, 0.0014031681, -0.0028960803, -0.0019003283, -0.003458243, -0.00019769242, -0.0038065598, -0.00156172, -0.0040774373, 0.0005507907
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.4149950747621007, 5.039388274829454, 7.454383349591555, 2.3956117251705455, 5.039388274829454, 7.435, 7.454383082787291, 2.4149950747621007, 5.039388274829454, 7.454383349591555, 2.3956117251705455, 5.039388274829454, 7.435, 7.454383082787291, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.7626598, -1.6340861, 1.7771174, 0.17909288, 1.8319942, -3.670374, 1.4764696, -1.005116, 0.0025212937, -0.0006194508, 0.001533248, -0.0020951831, 0.001436362, -0.00023025472, 0.00095231226, -0.0010996605, -0.008640281, -0.0018359637, -0.007798974, 0.004147436, -0.008582004, -0.001854339, -0.007766143, 0.0040959, -0.006118987, -0.0024554145, -0.006265726, 0.0020522529, -0.0071456423, -0.0020845938, -0.0068138307, 0.0029962393
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.31183974932997, 6.890258549328897, 8.202098298658868, 1.2847414506711035, 6.890258549328897, 8.175, 8.20209723144181, 1.31183974932997, 6.890258549328897, 8.202098298658868, 1.2847414506711035, 6.890258549328897, 8.175, 8.20209723144181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.171404, -1.7576084, 1.5674062, 0.1920362, 1.3349208, -4.3252497, 1.1546175, -1.0772643, 0.0026067859, -0.0007154797, 0.0011275206, -0.002456816, 0.0014318433, -0.0003145705, 0.00067939516, -0.0012990567, -0.013071556, -0.0021556204, -0.010053535, 0.008627786, -0.013007453, -0.002175779, -0.010027773, 0.008565722, -0.01046477, -0.0028711, -0.008926014, 0.0061709704, -0.011575609, -0.0024903496, -0.009348378, 0.0072666653
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.2974217880273953, 6.94723353278591, 7.2446553208133055, 0.2687664672140899, 6.94723353278591, 7.216, 7.244653052977058, 0.2974217880273953, 6.94723353278591, 7.2446553208133055, 0.2687664672140899, 6.94723353278591, 7.216, 7.244653052977058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.094368, -1.6532091, 1.1841756, 0.06290706, 0.61546266, -4.3724313, 0.64656687, -0.9940726, 0.0024101697, -0.0007729244, 0.0005357126, -0.0024737315, 0.0012868345, -0.00040472695, 0.00029291306, -0.0013167942, -0.018147016, -0.0020536266, -0.010852, 0.014688965, -0.0180846, -0.0020730612, -0.010837623, 0.014625194, -0.015736846, -0.002826551, -0.010316287, 0.012215233, -0.016797766, -0.0024777881, -0.01054471, 0.013308399
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 5.219358016263002e-05, 11.349236558397708, 11.34928875197787, -0.04923655839770724, 11.349236558397708, 11.3, 11.349184264761876, 5.219358016263002e-05, 11.349236558397708, 11.34928875197787, -0.04923655839770724, 11.349236558397708, 11.3, 11.349184264761876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.2849145, -1.9308754, 1.1863695, -0.26156092, -0.0068821907, -5.6265936, 0.15997542, -1.2042818, 0.0029673316, -0.0010830974, -2.8917566e-06, -0.0031588208, 0.0015874673, -0.0005785299, -6.938353e-07, -0.0016895998, -0.025225554, -0.0025294193, -0.011004524, 0.022839153, -0.025143936, -0.0025571682, -0.011002685, 0.022752969, -0.022258222, -0.0036125167, -0.011007416, 0.019680332, -0.023556469, -0.0031356981, -0.011003379, 0.021063369
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0002819007545269709, 15.343278254578463, 15.34356015533299, -0.0532782545784638, 15.343278254578463, 15.29, 15.34356853761819, 0.0002819007545269709, 15.343278254578463, 15.34356015533299, -0.0532782545784638, 15.343278254578463, 15.29, 15.34356853761819, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.4219484, -1.268602, 1.3797829, -0.30092058, -0.1341691, -6.5446754, -0.05675204, -1.4110752, 0.0036121309, -0.00064030685, -3.3397228e-06, -0.0036684405, 0.0019333102, -0.00034168013, -7.7392906e-07, -0.001963269, -0.03500021, -0.0023822095, -0.008423742, 0.03405481, -0.034899123, -0.002396872, -0.0084206285, 0.033952713, -0.031388078, -0.0030225164, -0.008427082, 0.030386368, -0.032965813, -0.0027385522, -0.008421402, 0.031989444
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00019982209633747082, 14.40456693712953, 14.404766759225868, -0.04456693712953097, 14.40456693712953, 14.36, 14.404767573936399, 0.00019982209633747082, 14.40456693712953, 14.404766759225868, -0.04456693712953097, 14.40456693712953, 14.36, 14.404767573936399, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 6.3423524, -0.12052777, 1.3609322, -0.034689654, -0.12052804, -6.3423524, -0.034689713, -1.3609322, 0.0035557412, -2.6688213e-06, -2.6689377e-06, -0.0035557412, 0.0019023344, -7.804483e-07, -7.804483e-07, -0.0019023344, -0.048658043, -0.0010978266, -0.0010978245, 0.048658043, -0.048560034, -0.0010927031, -0.001092701, 0.048560034, -0.045102302, -0.0011004955, -0.0011004935, 0.045102302, -0.0466577, -0.0010934835, -0.0010934814, 0.0466577
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0002001543640506002, 11.181586363568572, 11.181786517932622, -0.031586363568571585, 11.181586363568572, 11.15, 11.18179767254602, 0.0002001543640506002, 11.181586363568572, 11.181786517932622, -0.031586363568571585, 11.181586363568572, 11.15, 11.18179767254602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 5.5210834, 0.8555316, 1.1894689, 0.15798861, -0.11619204, -5.5857673, -0.05096072, -1.1988326, 0.0030868016, 0.0005415623, -2.682209e-06, -0.0031339452, 0.001651343, 0.00029042523, -7.394701e-07, -0.0016766824, -0.06340123, -0.00056953204, 0.010448629, 0.06253692, -0.06331741, -0.00055087876, 0.010452445, 0.06245113, -0.060314428, -2.7969792e-05, 0.010445947, 0.059402972, -0.061666068, -0.00026045353, 0.010451705, 0.06077445
