deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.72222791485775, 0.7524759377643545, 4.474703852622104, 3.719524062235646, 0.7524759377643545, 4.472, 4.474704252828501, 3.72222791485775, 0.7524759377643545, 4.474703852622104, 3.719524062235646, 0.7524759377643545, 4.472, 4.474704252828501, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.5083559, -0.9343622, 1.7812642, -0.27993113, 2.307998, -1.3557385, 1.7055932, -0.58499163, 0.0020174086, -0.00045309722, 0.0019080801, -0.000796533, 0.0012775951, -0.00017990865, 0.0012269447, -0.00039902737, 0.0012545648, -0.00057439314, 0.0011357629, -0.00078351976, 0.0012945966, -0.00058445777, 0.0011734386, -0.0008003829, 0.0032719735, -0.0010274904, 0.003043843, -0.0015800528, 0.0025721916, -0.0007643664, 0.0024003834, -0.0011994103
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.400176750421613, 1.7647558630937301, 6.164932613515343, 4.3932441369062705, 1.7647558630937301, 6.158, 6.164931946504682, 4.400176750421613, 1.7647558630937301, 6.164932613515343, 4.3932441369062705, 1.7647558630937301, 6.158, 6.164931946504682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 3.0749786, -1.1321762, 2.0281856, -0.07975463, 2.5023077, -2.1156023, 1.8785933, -0.7686252, 0.0023690634, -0.00044440065, 0.0020741976, -0.0012278676, 0.0014599197, -0.00013652648, 0.0013251811, -0.00062761485, -0.0031845062, -0.0008737796, -0.0032913073, 0.0002680811, -0.003135927, -0.00088530726, -0.0032496005, 0.0002406335, -0.00081544265, -0.0013181802, -0.0012171096, -0.00095978647, -0.0016760073, -0.0010218337, -0.0019244194, -0.00038698135
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.637625875678727, 3.3890560896212882, 8.026681965300014, 4.624943910378711, 3.3890560896212882, 8.014, 8.026683032517072, 4.637625875678727, 3.3890560896212882, 8.026681965300014, 4.624943910378711, 3.3890560896212882, 8.014, 8.026683032517072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.7010136, -1.2891698, 2.1745505, 0.15401949, 2.560587, -2.9669604, 1.9602258, -0.95389044, 0.0026976909, -0.00041618058, 0.0021281783, -0.0017092684, 0.0016107038, -9.135704e-05, 0.0013492317, -0.00088446937, -0.008873436, -0.0010456844, -0.008207463, 0.0035311286, -0.008815852, -0.0010581724, -0.008163838, 0.0034915218, -0.006175745, -0.001461865, -0.0060792845, 0.0018218602, -0.007205148, -0.0011495295, -0.006814606, 0.0026070524
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.3654839251104445, 5.575059200700927, 9.940543125811372, 4.343940799299073, 5.575059200700927, 9.919, 9.94054419302843, 4.3654839251104445, 5.575059200700927, 9.940543125811372, 4.343940799299073, 5.575059200700927, 9.919, 9.94054419302843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 4.362483, -1.3497392, 2.2086813, 0.38726184, 2.47426, -3.8381104, 1.9408752, -1.1230533, 0.0029941164, -0.00035869004, 0.002063064, -0.0021993532, 0.0017302493, -4.639395e-05, 0.0012956271, -0.0011477219, -0.015802473, -0.0011282107, -0.0128305955, 0.009293375, -0.015735699, -0.0011404875, -0.0127873365, 0.009241048, -0.012808356, -0.0014869007, -0.010767532, 0.0070940214, -0.01400545, -0.0011868814, -0.011491709, 0.008093326
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.313934414117462, 7.649458621568145, 10.963393035685606, 3.280541378431855, 7.649458621568145, 10.93, 10.9633938360984, 3.313934414117462, 7.649458621568145, 10.963393035685606, 3.280541378431855, 7.649458621568145, 10.93, 10.9633938360984, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.8461123, -1.26711, 2.0552142, 0.54630125, 2.1443584, -4.5268197, 1.7395573, -1.2232296, 0.0031323098, -0.00028498913, 0.0017950954, -0.0025826767, 0.0017541163, -2.0120759e-05, 0.00111211, -0.001356665, -0.023569847, -0.0011178434, -0.016006723, 0.017337015, -0.023496782, -0.0011284879, -0.015967913, 0.017274203, -0.020437537, -0.0014028326, -0.014211628, 0.014754338, -0.021742666, -0.0011486086, -0.014855803, 0.015917538
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.134411570668638, 7.762389396191958, 9.896800966860596, 2.1046106038080428, 7.762389396191958, 9.867, 9.896796831394497, 2.134411570668638, 7.762389396191958, 9.896800966860596, 2.1046106038080428, 7.762389396191958, 9.867, 9.896796831394497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.8200955, -0.8067072, 1.7379755, 0.6539549, 1.7114186, -4.577679, 1.4353292, -1.1781535, 0.002976317, -5.656865e-05, 0.0014391681, -0.0026058517, 0.0016299058, 7.441983e-05, 0.0008794023, -0.0013743304, -0.027531916, -0.00089158514, -0.014538093, 0.023397548, -0.02746019, -0.00089592073, -0.014505984, 0.023333263, -0.0245556, -0.0009481538, -0.013098924, 0.020791696, -0.025830284, -0.0008215009, -0.013626582, 0.021958932
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.29959449306224, 13.457980625010983, 15.757575118073223, 2.2420193749890167, 13.457980625010983, 15.7, 15.757585790243802, 2.29959449306224, 13.457980625010983, 15.757575118073223, 2.2420193749890167, 13.457980625010983, 15.7, 15.757585790243802, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 6.2868347, -0.4106958, 1.9291723, 0.942082, 1.7642964, -6.048158, 1.5450833, -1.4906179, 0.0037384555, 0.00022625481, 0.0014912384, -0.0034356117, 0.0020141155, 0.00021916203, 0.00089481473, -0.0018176921, -0.04818203, -0.0005239604, -0.016971588, 0.04509709, -0.04809004, -0.00052060175, -0.016936969, 0.0450118, -0.044443574, -0.00029770558, -0.01548035, 0.04166148, -0.046075925, -0.00030143972, -0.016042154, 0.043194108
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.4821052929614131, 16.40705140294739, 17.889156695908802, 1.4129485970526119, 16.40705140294739, 17.82, 17.889172570762536, 1.4821052929614131, 16.40705140294739, 17.889156695908802, 1.4129485970526119, 16.40705140294739, 17.82, 17.889172570762536, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.8410172, 0.21537107, 1.7853298, 1.0238247, 1.4000295, -6.699688, 1.3182899, -1.5804212, 0.003948331, 0.0005170683, 0.0011948338, -0.0037985556, 0.0021060407, 0.00033263405, 0.0006932914, -0.0020162798, -0.06472484, -2.6342605e-05, -0.011265296, 0.063736945, -0.064626016, -1.3542332e-05, -0.01123553, 0.063641846, -0.06077651, 0.00049072574, -0.010070462, 0.05993839, -0.062519975, 0.00031909172, -0.010542238, 0.061625566
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0387928606376441, 10.651246720509413, 10.690039581147056, -0.0012467205094122136, 10.651246720509413, 10.65, 10.690038993343911, 0.0387928606376441, 10.651246720509413, 10.690039581147056, -0.0012467205094122136, 10.651246720509413, 10.65, 10.690038993343911, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.437856, 0.20567885, 1.1586272, 0.40889537, 0.20567861, -5.437856, 0.4088953, -1.1586272, 0.003069207, 0.00020348484, 0.00020348473, -0.003069207, 0.0016398951, 6.322862e-05, 6.3228545e-05, -0.0016398951, -0.06582534, -0.000109465334, -0.00010946246, 0.06582534, -0.06574689, -9.990945e-05, -9.9906574e-05, 0.06574689, -0.062756136, 9.401952e-05, 9.402226e-05, 0.062756136, -0.06410699, -3.668083e-05, -3.667803e-05, 0.06410699
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 5.91054740675217e-05, 12.52044538075976, 12.520504486233827, -0.05044538075975957, 12.52044538075976, 12.47, 12.520383482170407, 5.91054740675217e-05, 12.52044538075976, 12.520504486233827, -0.05044538075975957, 12.52044538075976, 12.47, 12.520383482170407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 5.819712, 1.0167781, 1.2141333, 0.38209236, -0.009251475, -5.9078593, 0.16545548, -1.2620374, 0.0032697394, 0.0005736585, -2.8405339e-06, -0.0033196807, 0.0017481521, 0.0003074522, -7.8231096e-07, -0.0017749816, -0.09368731, 0.00038533777, 0.016648116, 0.092197075, -0.09360068, 0.0004033248, 0.016650787, 0.09210864, -0.09041757, 0.00095899624, 0.016645275, 0.088877395, -0.09185253, 0.000710777, 0.016650004, 0.090333655
