deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6576975682399393, 0.7561555020765006, 4.41385307031644, 3.654844497923499, 0.7561555020765006, 4.411, 4.413853137017506, 3.6576975682399393, 0.7561555020765006, 4.41385307031644, 3.654844497923499, 0.7561555020765006, 4.411, 4.413853137017506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.4891346, -0.94210845, 1.7669114, -0.2807226, 2.2877235, -1.3600295, 1.691321, -0.5832788, 0.002001421, -0.0004580695, 0.001891472, -0.00079865346, 0.0012670994, -0.00018315861, 0.0012160443, -0.0004004056, 0.0018284095, -0.00060043193, 0.0016963679, -0.00090881006, 0.0018681375, -0.00061071233, 0.0017337071, -0.0009258329, 0.0038298306, -0.0010585014, 0.00358784, -0.0017074635, 0.003135237, -0.00079387095, 0.0029497514, -0.0013262385
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.985165918715176, 1.7568632593426632, 5.742029178057839, 3.9781367406573374, 1.7568632593426632, 5.735, 5.742029578264236, 3.985165918715176, 1.7568632593426632, 5.742029178057839, 3.9781367406573374, 1.7568632593426632, 5.735, 5.742029578264236, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9602613, -1.1737537, 1.9411737, -0.09464914, 2.3802881, -2.1154368, 1.7917347, -0.7528616, 0.002274123, -0.00047693716, 0.0019738544, -0.0012259702, 0.0013985588, -0.0001593337, 0.0012597202, -0.0006280601, -0.0012960421, -0.0010112083, -0.0015637348, -0.0005069524, -0.0012492021, -0.0010237768, -0.0015240184, -0.00053478323, 0.0009780808, -0.0014881454, 0.00041011954, -0.0017329226, 0.0001493568, -0.0011831105, -0.00026429817, -0.0011628433
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.3673283507369787, 2.9744446638987383, 6.3417730146357165, 3.356555336101262, 2.9744446638987383, 6.331, 6.341773548244246, 3.3673283507369787, 2.9744446638987383, 6.3417730146357165, 3.356555336101262, 2.9744446638987383, 6.331, 6.341773548244246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2814028, -1.3251824, 1.889021, 0.08933651, 2.1791868, -2.788343, 1.6806084, -0.86714286, 0.0023716826, -0.00048172357, 0.0018130755, -0.0016030262, 0.0014085893, -0.00014764199, 0.001146053, -0.0008321564, -0.0052025397, -0.0012693309, -0.005140197, 0.0015019971, -0.005151254, -0.0012834474, -0.0051028403, 0.0014641291, -0.0028308572, -0.0017510544, -0.0033271215, -0.00010102906, -0.0037426648, -0.0014310894, -0.0039567873, 0.0006319727
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.5921536399678358, 4.720049717096384, 7.31220335706422, 2.573950282903615, 4.720049717096384, 7.294, 7.312203623868484, 2.5921536399678358, 4.720049717096384, 7.31220335706422, 2.573950282903615, 4.720049717096384, 7.294, 7.312203623868484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.7358716, -1.495443, 1.7990816, 0.21966442, 1.9005914, -3.5469477, 1.519374, -0.98815465, 0.002519833, -0.0005312278, 0.0015888377, -0.0020266613, 0.0014412538, -0.00017719716, 0.0009901645, -0.001062161, -0.008340856, -0.001680725, -0.0074698157, 0.004073889, -0.008283035, -0.0016968899, -0.0074359127, 0.0040243394, -0.005821023, -0.0022119528, -0.005880978, 0.0020472277, -0.006841781, -0.001874087, -0.0064457483, 0.0029621783
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.4985988657856717, 6.326513411534557, 7.825112277320229, 1.4744865884654432, 6.326513411534557, 7.801, 7.8251156123735335, 1.4985988657856717, 6.326513411534557, 7.825112277320229, 1.4744865884654432, 6.326513411534557, 7.801, 7.8251156123735335, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.0901585, -1.5635126, 1.5853494, 0.25488475, 1.4313831, -4.1382494, 1.214296, -1.0506114, 0.0025773756, -0.0005888032, 0.0012056557, -0.002352859, 0.001422639, -0.00023717899, 0.0007327646, -0.00124226, -0.012354683, -0.0019348277, -0.009423601, 0.0082205525, -0.012291918, -0.0019519662, -0.009396385, 0.008161455, -0.0097773075, -0.0025236309, -0.008217946, 0.0058676936, -0.010869279, -0.0021891452, -0.008663621, 0.0069191954
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.6967150471127374, 6.949745761740006, 7.646460808852743, 0.6692542382599935, 6.949745761740006, 7.619, 7.646460808852743, 0.6967150471127374, 6.949745761740006, 7.646460808852743, 0.6692542382599935, 6.949745761740006, 7.619, 7.646460808852743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.2556286, -1.3466564, 1.3432512, 0.25437674, 0.96157527, -4.358811, 0.8919223, -1.0361015, 0.0025502667, -0.000524987, 0.0008204803, -0.0024710894, 0.0013749674, -0.00024097797, 0.00047879014, -0.0013112454, -0.017948454, -0.0017069695, -0.010452505, 0.014690334, -0.01788387, -0.0017210437, -0.010432402, 0.014627365, -0.015398188, -0.0022319565, -0.009632025, 0.012219245, -0.016508903, -0.0019620217, -0.0099536115, 0.01331612
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.040790945267687395, 11.703712704150792, 11.74450364941848, -0.003712704150792945, 11.703712704150792, 11.7, 11.744503874534578, 0.040790945267687395, 11.703712704150792, 11.74450364941848, -0.003712704150792945, 11.703712704150792, 11.7, 11.744503874534578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.428619, -1.7521626, 1.2901065, -0.019203758, 0.21020281, -5.700508, 0.4231968, -1.2188717, 0.0030937828, -0.0009023391, 0.0002102144, -0.0032158233, 0.0016369764, -0.0005279016, 6.381422e-05, -0.0017188061, -0.024315083, -0.002094623, -0.0102845505, 0.022132302, -0.024232425, -0.0021138617, -0.010274358, 0.022048047, -0.0212213, -0.002996962, -0.010074336, 0.018916478, -0.022595448, -0.0026417633, -0.010210544, 0.02032924
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.2774122697987533e-05, 17.087289152295998, 17.087331926418695, -0.06728915229599863, 17.087289152295998, 17.02, 17.087258203001323, 4.2774122697987533e-05, 17.087289152295998, 17.087331926418695, -0.06728915229599863, 17.087289152295998, 17.02, 17.087258203001323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.795143, -1.2181319, 1.4903824, -0.08346603, -0.019661188, -6.9034357, 0.17660427, -1.4822339, 0.0038155578, -0.00067636766, -3.5269186e-06, -0.0038750377, 0.0020408332, -0.0003606826, -8.153729e-07, -0.002072461, -0.0357564, -0.0011589313, -0.00735036, 0.035011932, -0.035651743, -0.0011734694, -0.007346504, 0.034906343, -0.031940844, -0.001835299, -0.007353887, 0.031136895, -0.03361091, -0.001534152, -0.0073473193, 0.03283388
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00010129257934461336, 14.868313302998123, 14.868414595577468, -0.078313302998124, 14.868313302998123, 14.79, 14.868414688618616, 0.00010129257934461336, 14.868313302998123, 14.868414595577468, -0.078313302998124, 14.868313302998123, 14.79, 14.868414688618616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 6.438034, 0.035546217, 1.3681598, 0.2632744, 0.035545934, -6.438034, 0.26327434, -1.3681598, 0.0036191419, 1.0859352e-05, 1.0859192e-05, -0.0036191419, 0.0019368678, -7.945782e-07, -7.94651e-07, -0.0019368678, -0.04584465, 0.00021024607, 0.00021024808, 0.04584465, -0.045748275, 0.00021549828, 0.00021550027, 0.045748275, -0.04222551, 0.00022110542, 0.00022110727, 0.04222551, -0.043811407, 0.0002147037, 0.00021470562, 0.043811407
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0002949009486430974, 21.036971971468695, 21.037266872417337, -0.06697197146869627, 21.036971971468695, 20.97, 21.03727719554723, 0.0002949009486430974, 21.036971971468695, 21.037266872417337, -0.06697197146869627, 21.036971971468695, 20.97, 21.03727719554723, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 7.568416, 1.1980824, 1.6218221, 0.26554278, -0.13436091, -7.6614795, -0.020117909, -1.643294, 0.004234366, 0.0007428974, -3.6787242e-06, -0.004299037, 0.0022651628, 0.000398379, -1.0151416e-06, -0.0022999272, -0.07771445, -0.00011280814, 0.013383879, 0.07655338, -0.07759991, -8.824545e-05, 0.01338818, 0.07643632, -0.073480085, 0.00063008926, 0.013380201, 0.072254345, -0.07533475, 0.00031013353, 0.013387165, 0.07413639
