deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.721184176575208, 0.7522119349446776, 4.473396111519886, 3.717788065055322, 0.7522119349446776, 4.47, 4.473396645128414, 3.721184176575208, 0.7522119349446776, 4.473396111519886, 3.717788065055322, 0.7522119349446776, 4.47, 4.473396645128414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.507996, -0.93418086, 1.7810107, -0.27988154, 2.3076751, -1.3554975, 1.7053522, -0.5848988, 0.0020171208, -0.00045300554, 0.0019078125, -0.0007963928, 0.001277414, -0.00017986819, 0.0012267733, -0.00039895624, 0.0012545767, -0.00057422544, 0.0011358036, -0.0007833566, 0.0012946028, -0.0005842877, 0.0011734744, -0.00080021645, 0.0032716976, -0.001027231, 0.0030436162, -0.0015797494, 0.0025720168, -0.0007641559, 0.0024002476, -0.0011991727
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.399306434910965, 1.7641835679464772, 6.163490002857443, 4.392816432053523, 1.7641835679464772, 6.157, 6.163490136259575, 4.399306434910965, 1.7641835679464772, 6.163490002857443, 4.392816432053523, 1.7641835679464772, 6.157, 6.163490136259575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 3.074628, -1.1319323, 2.0279698, -0.07972135, 2.5020618, -2.1152532, 1.878402, -0.7685201, 0.0023688027, -0.00044428243, 0.0020739927, -0.0012276671, 0.0014597627, -0.00013647258, 0.0013250519, -0.0006275106, -0.0031870024, -0.00087355496, -0.003293576, 0.00026914588, -0.0031384286, -0.00088507944, -0.0032518732, 0.00024170324, -0.00081819977, -0.0013178374, -0.0012195832, -0.00095852127, -0.0016786659, -0.001021552, -0.0019268213, -0.00038580736
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.63316544198559, 3.381225651263839, 8.01439109324943, 4.620774348736162, 3.381225651263839, 8.002, 8.014391893662223, 4.63316544198559, 3.381225651263839, 8.01439109324943, 4.620774348736162, 3.381225651263839, 8.002, 8.014391893662223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.698217, -1.2867447, 2.1732223, 0.15427807, 2.5593774, -2.9634619, 1.9592047, -0.95300245, 0.0026958096, -0.00041496812, 0.0021271557, -0.0017072777, 0.0016096407, -9.075727e-05, 0.001348611, -0.00088341837, -0.008860707, -0.0010429814, -0.008195088, 0.0035271053, -0.008803166, -0.001055436, -0.008151484, 0.0034875488, -0.0061648977, -0.0014579495, -0.0060679326, 0.0018198276, -0.007193526, -0.0011461932, -0.0068028728, 0.0026041304
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.3643612127656235, 5.568439786899833, 9.932800999665456, 4.343560213100168, 5.568439786899833, 9.912, 9.932802600491042, 4.3643612127656235, 5.568439786899833, 9.932800999665456, 4.343560213100168, 5.568439786899833, 9.912, 9.932802600491042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 4.3607583, -1.3481485, 2.208097, 0.38745666, 2.4739616, -3.835783, 1.9405527, -1.1225283, 0.0029930696, -0.0003578507, 0.0020628013, -0.0021980382, 0.0017296905, -4.594773e-05, 0.0012954846, -0.0011470215, -0.015797738, -0.0011263284, -0.012825759, 0.009291774, -0.01573099, -0.0011385828, -0.012782504, 0.009239481, -0.012804668, -0.001484179, -0.010762958, 0.0070937355, -0.0140013, -0.0011845306, -0.011487019, 0.008092459
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.3135953058973415, 7.645282067612387, 10.95887737350973, 3.284717932387613, 7.645282067612387, 10.93, 10.958876306292671, 3.3135953058973415, 7.645282067612387, 10.95887737350973, 3.284717932387613, 7.645282067612387, 10.93, 10.958876306292671, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.8450866, -1.2663796, 2.0549195, 0.54637814, 2.1442587, -4.5255647, 1.7394267, -1.2229545, 0.0031317081, -0.00028460287, 0.001795005, -0.002581967, 0.0017537978, -1.9910512e-05, 0.0011120671, -0.0013562851, -0.023574281, -0.0011169347, -0.016008878, 0.017340995, -0.02350123, -0.001127569, -0.015970068, 0.0172782, -0.020442573, -0.0014015376, -0.014213873, 0.014759028, -0.021747433, -0.0011474795, -0.014858001, 0.015921915
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.1193624761321317, 7.799684897102872, 9.919047373235003, 2.0893151028971273, 7.799684897102872, 9.889, 9.919048307049929, 2.1193624761321317, 7.799684897102872, 9.919047373235003, 2.0893151028971273, 7.799684897102872, 9.889, 9.919048307049929, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.8268266, -0.81788135, 1.737368, 0.6497542, 1.705107, -4.5890956, 1.4313877, -1.1797278, 0.0029792488, -6.417127e-05, 0.0014340505, -0.0026121903, 0.0016311668, 6.9666654e-05, 0.00087591633, -0.0013777986, -0.027636211, -0.00090785004, -0.014604326, 0.023479737, -0.027564377, -0.0009123622, -0.014572316, 0.023415271, -0.024656963, -0.0009720213, -0.013170276, 0.020867547, -0.02593321, -0.00084269553, -0.0136963995, 0.022037473
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.2764695002449864, 13.535652682478721, 15.812122182723709, 2.2243473175212785, 13.535652682478721, 15.76, 15.81211631302989, 2.2764695002449864, 13.535652682478721, 15.812122182723709, 2.2243473175212785, 13.535652682478721, 15.76, 15.81211631302989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 6.300572, -0.42564332, 1.9296007, 0.9357629, 1.7549486, -6.0661793, 1.5392919, -1.4931818, 0.003745284, 0.0002157189, 0.0014836714, -0.0034456365, 0.0020174906, 0.00021243311, 0.000889644, -0.0018231682, -0.048346873, -0.00054785557, -0.01705042, 0.045243822, -0.048254665, -0.00054473267, -0.017015949, 0.045158245, -0.04460159, -0.00033213667, -0.0155667495, 0.041798186, -0.046237174, -0.00033229956, -0.016126305, 0.043335076
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.45588790531701, 16.47907361331106, 17.934961518628068, 1.3909263866889425, 16.47907361331106, 17.87, 17.934962585845124, 1.45588790531701, 16.47907361331106, 17.934961518628068, 1.3909263866889425, 16.47907361331106, 17.87, 17.934962585845124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.853867, 0.19980909, 1.7853401, 1.0150968, 1.3869354, -6.7150445, 1.3096963, -1.581947, 0.0039548166, 0.0005051005, 0.0011841739, -0.0038070232, 0.0021094158, 0.0003247747, 0.000686137, -0.0020209774, -0.06489235, -5.177286e-05, -0.011319428, 0.0638975, -0.06479332, -3.9224455e-05, -0.011289873, 0.06380215, -0.060937535, 0.00045332767, -0.010135254, 0.060090475, -0.0626839, 0.00028555025, -0.010603736, 0.061781175
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.02864775354629405, 10.724839874382184, 10.753487627928477, -0.014839874382182927, 10.724839874382184, 10.71, 10.753486114648041, 0.02864775354629405, 10.724839874382184, 10.753487627928477, -0.014839874382182927, 10.724839874382184, 10.71, 10.753486114648041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.457876, 0.17623127, 1.1589676, 0.38888076, 0.17623103, -5.457876, 0.3888807, -1.1589676, 0.00308007, 0.00017941734, 0.00017941721, -0.00308007, 0.0016460642, 4.7266185e-05, 4.726612e-05, -0.0016460642, -0.066094585, -0.00015237987, -0.00015237698, 0.066094585, -0.066015795, -0.00014329808, -0.0001432952, 0.066015795, -0.063014515, 2.7037479e-05, 2.7040232e-05, 0.063014515, -0.06436973, -9.6031894e-05, -9.602908e-05, 0.06436973
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.5247562213783106e-05, 12.552956013991963, 12.553001261554178, -0.05295601399196315, 12.552956013991963, 12.5, 12.552903720356131, 4.5247562213783106e-05, 12.552956013991963, 12.553001261554178, -0.05295601399196315, 12.552956013991963, 12.5, 12.552903720356131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 5.8285303, 1.012512, 1.2185026, 0.372714, -0.01498419, -5.9158025, 0.15546085, -1.264712, 0.0032735765, 0.0005743317, -2.8461218e-06, -0.0033235773, 0.0017501563, 0.0003078035, -7.8231096e-07, -0.0017770156, -0.093904324, 0.0003540184, 0.016654957, 0.09241623, -0.09381744, 0.00037203525, 0.016657611, 0.092327535, -0.09063075, 0.0009283501, 0.016652111, 0.08909265, -0.09206729, 0.00067983876, 0.016656829, 0.09055052
