deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6585758878785204, 0.7563596740398737, 4.414935561918394, 3.6556403259601264, 0.7563596740398737, 4.412, 4.414935295114129, 3.6585758878785204, 0.7563596740398737, 4.414935561918394, 3.6556403259601264, 0.7563596740398737, 4.412, 4.414935295114129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.489437, -0.94224304, 1.7671254, -0.2807609, 2.2879982, -1.3602145, 1.6915251, -0.58335364, 0.0020016632, -0.00045813632, 0.0018916989, -0.0007987614, 0.0012672524, -0.00018318708, 0.0012161899, -0.0004004602, 0.0018315456, -0.0006005841, 0.0016994299, -0.0009095045, 0.0018712784, -0.00061086623, 0.0017367736, -0.0009265299, 0.003833209, -0.0010587204, 0.0035911289, -0.0017082659, 0.0031385308, -0.0007940533, 0.0029529636, -0.0013269901
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.9856010764704997, 1.757128996390059, 5.742730072860558, 3.9788710036099406, 1.757128996390059, 5.736, 5.742730206262691, 3.9856010764704997, 1.757128996390059, 5.742730072860558, 3.9788710036099406, 1.757128996390059, 5.736, 5.742730206262691, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9604375, -1.1738619, 1.9412802, -0.09466463, 2.3804169, -2.1155987, 1.7918295, -0.7529126, 0.0022742585, -0.00047698698, 0.0019739647, -0.0012260634, 0.0013986402, -0.00015935546, 0.0012597891, -0.00062810833, -0.0012871466, -0.0010112887, -0.0015554032, -0.0005100705, -0.0012403041, -0.0010238587, -0.0015156849, -0.00053790346, 0.0009871119, -0.0014882757, 0.0004185615, -0.0017361338, 0.00015833616, -0.0011832141, -0.00025589578, -0.0011660118
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.369904612714543, 2.9800195390044966, 6.34992415171904, 3.358980460995504, 2.9800195390044966, 6.339, 6.349924418523304, 3.369904612714543, 2.9800195390044966, 6.34992415171904, 3.358980460995504, 2.9800195390044966, 6.339, 6.349924418523304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2834415, -1.3270789, 1.8899684, 0.08911182, 2.1800044, -2.7910047, 1.6813165, -0.8678111, 0.0023730348, -0.00048268633, 0.0018137656, -0.001604536, 0.0014093486, -0.00014812616, 0.0011464683, -0.00083295524, -0.00519738, -0.0012718248, -0.005136976, 0.0014972575, -0.005146063, -0.0012859686, -0.0050996053, 0.00145935, -0.0028243454, -0.0017545111, -0.0033232104, -0.000107278465, -0.0037367144, -0.0014340947, -0.003953137, 0.00062639476
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.5922595612608235, 4.724590725677385, 7.316850286938209, 2.5744092743226155, 4.724590725677385, 7.299, 7.316850820546738, 2.5922595612608235, 4.724590725677385, 7.316850286938209, 2.5744092743226155, 4.724590725677385, 7.299, 7.316850820546738, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.7370083, -1.4967631, 1.799393, 0.21944651, 1.9006138, -3.5486898, 1.5194725, -0.9885219, 0.0025204872, -0.0005319605, 0.0015888675, -0.0020276434, 0.0014415896, -0.00017760124, 0.0009901612, -0.0010626863, -0.008331325, -0.0016825465, -0.0074636852, 0.004066367, -0.008273486, -0.0016987307, -0.007429781, 0.0040167915, -0.0058108377, -0.002214507, -0.0058748177, 0.0020387238, -0.0068318965, -0.001876332, -0.0064396197, 0.0029541051
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.4981585053471909, 6.331538403051276, 7.829696908398467, 1.4734615969487237, 6.331538403051276, 7.805, 7.829695574377145, 1.4981585053471909, 6.331538403051276, 7.829696908398467, 1.4734615969487237, 6.331538403051276, 7.805, 7.829695574377145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.0912924, -1.5647674, 1.5855403, 0.2546127, 1.4311509, -4.139925, 1.2142104, -1.0509324, 0.00257798, -0.00058954547, 0.001205476, -0.0023538, 0.001422937, -0.00023761066, 0.00073262583, -0.0012427666, -0.012340435, -0.0019366966, -0.009415875, 0.008208437, -0.012277651, -0.001953854, -0.009388661, 0.008149313, -0.009762455, -0.002526242, -0.008210399, 0.005854637, -0.010854714, -0.0021914646, -0.008656035, 0.006906546
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.7062821811285814, 6.92232522026505, 7.628607401393631, 0.6786747797349504, 6.92232522026505, 7.601, 7.628607334692565, 0.7062821811285814, 6.92232522026505, 7.628607401393631, 0.6786747797349504, 6.92232522026505, 7.601, 7.628607334692565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.2513185, -1.3361712, 1.344646, 0.2587593, 0.96850073, -4.3498354, 0.89641505, -1.035118, 0.0025487952, -0.0005176241, 0.0008261213, -0.0024661338, 0.0013744943, -0.00023632403, 0.00048258435, -0.0013085082, -0.017883066, -0.0016923741, -0.010407171, 0.014641004, -0.017818555, -0.0017062813, -0.01038696, 0.014578181, -0.015334271, -0.0022099982, -0.00958105, 0.01217487, -0.016444061, -0.0019426054, -0.009904375, 0.013269673
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.04621584302628985, 11.648277181299676, 11.694493024325967, 0.0017228187003244244, 11.648277181299676, 11.65, 11.694490881554218, 0.04621584302628985, 11.648277181299676, 11.694493024325967, 0.0017228187003244244, 11.648277181299676, 11.65, 11.694490881554218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.420164, -1.7340782, 1.2922412, -0.01003245, 0.2243048, -5.686378, 0.43254513, -1.2177409, 0.00309043, -0.0008888694, 0.00022172462, -0.0032080654, 0.0016355477, -0.00051919883, 7.150229e-05, -0.0017144904, -0.024219537, -0.002071069, -0.0102297375, 0.022050573, -0.024137028, -0.0020900217, -0.010219327, 0.021966558, -0.021129107, -0.0029599385, -0.010008013, 0.018842507, -0.02250148, -0.0026092206, -0.010147825, 0.020252068
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 5.1354780873152005e-05, 17.05548821840724, 17.055539573188113, -0.07548821840724074, 17.05548821840724, 16.98, 17.055432723120237, 5.1354780873152005e-05, 17.05548821840724, 17.055539573188113, -0.07548821840724074, 17.05548821840724, 16.98, 17.055432723120237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.789282, -1.2140181, 1.4894159, -0.07814196, -0.01662767, -6.8969493, 0.1816796, -1.4803575, 0.0038121715, -0.00067576685, -3.523659e-06, -0.003871603, 0.002038978, -0.00036035525, -8.158386e-07, -0.002070576, -0.03567925, -0.0011434634, -0.00732173, 0.03493864, -0.035574753, -0.0011579758, -0.007317876, 0.03483321, -0.03186708, -0.0018192303, -0.0073252534, 0.031067038, -0.033535775, -0.001518331, -0.007318692, 0.032762635
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0004855618424493956, 14.875963114868538, 14.876448676710988, -0.08596311486853914, 14.875963114868538, 14.79, 14.876448698629844, 0.0004855618424493956, 14.875963114868538, 14.876448676710988, -0.08596311486853914, 14.875963114868538, 14.79, 14.876448698629844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 6.438922, 0.043866586, 1.3671093, 0.27846155, 0.043866303, -6.438922, 0.2784615, -1.3671093, 0.003620863, 2.4365974e-05, 2.4365814e-05, -0.003620863, 0.001937665, -7.9489837e-07, -7.949857e-07, -0.001937665, -0.04568477, 0.00023041583, 0.00023041782, 0.04568477, -0.045588627, 0.00023636663, 0.00023636862, 0.045588627, -0.042063907, 0.0002547818, 0.00025478363, 0.042063907, -0.043650962, 0.00023557173, 0.00023557364, 0.043650962
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00029516211849132175, 21.066354591504442, 21.066649753622933, -0.06635459150444234, 21.066354591504442, 21.0, 21.066632067939473, 0.00029516211849132175, 21.066354591504442, 21.066649753622933, -0.06635459150444234, 21.066354591504442, 21.0, 21.066632067939473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 7.573676, 1.1989901, 1.6229234, 0.26587227, -0.13438046, -7.666817, -0.019984633, -1.6444356, 0.004237324, 0.0007434152, -3.6824495e-06, -0.004302047, 0.0022667423, 0.0003986566, -1.0160729e-06, -0.002301529, -0.07773754, -0.000111802314, 0.01338888, 0.07657595, -0.07762292, -8.722459e-05, 0.01339318, 0.0764588, -0.073500216, 0.0006316129, 0.013385197, 0.0722739, -0.07535618, 0.000311432, 0.013392164, 0.07415727
