deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6732629290281635, 0.7572404616179013, 4.430503390646065, 3.6697595383820985, 0.7572404616179013, 4.427, 4.430504124357792, 3.6732629290281635, 0.7572404616179013, 4.430503390646065, 3.6697595383820985, 0.7572404616179013, 4.427, 4.430504124357792, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.494098, -0.9421072, 1.7705352, -0.28094754, 2.2926118, -1.36089, 1.6948507, -0.5841296, 0.0020054681, -0.00045790046, 0.0018954868, -0.0007991898, 0.001269711, -0.00018293422, 0.0012186549, -0.00040063803, 0.0018347369, -0.00060265244, 0.0017022137, -0.00091209554, 0.0018745428, -0.0006129329, 0.0017396295, -0.00092913205, 0.003840205, -0.0010605529, 0.0035977005, -0.0017112853, 0.0031442537, -0.0007958671, 0.0029582845, -0.0013297701
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.009808227384377, 1.7778551520656098, 5.787663379449986, 4.00314484793439, 1.7778551520656098, 5.781, 5.787663779656383, 4.009808227384377, 1.7778551520656098, 5.787663379449986, 4.00314484793439, 1.7778551520656098, 5.781, 5.787663779656383, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9715047, -1.1833593, 1.9478482, -0.09610447, 2.3875682, -2.1283083, 1.7975088, -0.756512, 0.0022823585, -0.00048176572, 0.0019799417, -0.0012333243, 0.0014034477, -0.00016165245, 0.0012635209, -0.0006319111, -0.0012949045, -0.0010227291, -0.0015666061, -0.0005181675, -0.0012478896, -0.0010354337, -0.0015267718, -0.000546186, 0.000987454, -0.0015044948, 0.00041333569, -0.0017514918, 0.00015555807, -0.0011970862, -0.00026325084, -0.0011780971
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.3762177352200444, 3.0219705075258623, 6.398188242745906, 3.3650294924741373, 3.0219705075258623, 6.387, 6.398188242745907, 3.3762177352200444, 3.0219705075258623, 6.398188242745906, 3.3650294924741373, 3.0219705075258623, 6.387, 6.398188242745907, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2951086, -1.3435694, 1.8941611, 0.08637651, 2.181863, -2.8111196, 1.6835798, -0.8722763, 0.0023801667, -0.00049168745, 0.0018154408, -0.0016158972, 0.0014130971, -0.00015295972, 0.0011472981, -0.0008390156, -0.0052479575, -0.0012924057, -0.0051910672, 0.0015047226, -0.005196459, -0.0013067959, -0.0051536635, 0.0014665112, -0.0028677909, -0.0017840931, -0.0033756264, -0.00011117454, -0.003783362, -0.0014597556, -0.0040063653, 0.0006274956
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.5766371043600063, 4.8027051446155875, 7.379342248975593, 2.5582948553844123, 4.8027051446155875, 7.361, 7.379342782584123, 2.5766371043600063, 4.8027051446155875, 7.379342248975593, 2.5582948553844123, 4.8027051446155875, 7.361, 7.379342782584123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.7516513, -1.5237812, 1.8006827, 0.21333817, 1.894464, -3.5787992, 1.5165341, -0.99403, 0.0025276141, -0.000548005, 0.0015840139, -0.0020445152, 0.0014447193, -0.00018686126, 0.0009866068, -0.0010717912, -0.008401274, -0.0017195499, -0.0075410544, 0.0040829834, -0.008343202, -0.0017361512, -0.00750724, 0.004032938, -0.0058736596, -0.0022675549, -0.0059570405, 0.0020384681, -0.006898483, -0.0019230124, -0.006520633, 0.0029611466
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.4714678069376472, 6.4066528748399625, 7.8781206817776095, 1.4463471251600373, 6.4066528748399625, 7.853, 7.878121615592535, 1.4714678069376472, 6.4066528748399625, 7.8781206817776095, 1.4463471251600373, 6.4066528748399625, 7.853, 7.878121615592535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.102126, -1.5913526, 1.5829383, 0.24594028, 1.4177492, -4.165313, 1.2058944, -1.0545137, 0.002581805, -0.0006069343, 0.001194613, -0.0023679067, 0.0014240816, -0.0002482445, 0.00072521623, -0.0012504784, -0.012429328, -0.0019740881, -0.0095016565, 0.008252498, -0.012366365, -0.0019916669, -0.009474652, 0.008192966, -0.009847523, -0.0025810224, -0.008307043, 0.005884591, -0.010942283, -0.0022399114, -0.008749436, 0.0069424873
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.6092910269749542, 7.1375087292407144, 7.746799756215669, 0.5804912707592855, 7.1375087292407144, 7.718, 7.746798955802875, 0.6092910269749542, 7.1375087292407144, 7.746799756215669, 0.5804912707592855, 7.1375087292407144, 7.718, 7.746798955802875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.2764106, -1.4341649, 1.325366, 0.21443798, 0.8961818, -4.4205627, 0.8483917, -1.0405817, 0.002552865, -0.00058815803, 0.00076707173, -0.0025049252, 0.0013735201, -0.00028127956, 0.0004431652, -0.0013301438, -0.018109852, -0.0018321421, -0.0106416065, 0.014767522, -0.018044883, -0.0018476477, -0.010622551, 0.014703505, -0.015556987, -0.0024203002, -0.009874535, 0.012262597, -0.016671363, -0.0021289273, -0.010179386, 0.013373361
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.010029401585726455, 12.04030442644902, 12.050333828034747, -0.04030442644902088, 12.04030442644902, 12.0, 12.050334132358362, 0.010029401585726455, 12.04030442644902, 12.050333828034747, -0.04030442644902088, 12.04030442644902, 12.0, 12.050334132358362, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.4749727, -1.8754766, 1.2718781, -0.08387916, 0.110179424, -5.7862425, 0.35618734, -1.2238628, 0.0031098425, -0.000995168, 0.00012847688, -0.0032626633, 0.0016430505, -0.0005880154, 9.402633e-06, -0.0017450769, -0.024609057, -0.0022590263, -0.010539584, 0.022352317, -0.024525564, -0.0022802413, -0.010530964, 0.022266604, -0.021499215, -0.0032541943, -0.010411107, 0.019089654, -0.022882514, -0.0028682568, -0.010521561, 0.020521527
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 6.280264446478472e-05, 17.57903609211047, 17.579098894754935, -0.06903609211046913, 17.57903609211047, 17.51, 17.579097990699825, 6.280264446478472e-05, 17.57903609211047, 17.579098894754935, -0.06903609211046913, 17.57903609211047, 17.51, 17.579097990699825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.888445, -1.2717031, 1.5028378, -0.15294665, -0.056216836, -7.004623, 0.11034207, -1.5065651, 0.003867779, -0.0006856244, -3.5748817e-06, -0.0039280765, 0.002069734, -0.0003657908, -8.2794577e-07, -0.0021018088, -0.036253978, -0.0013933125, -0.007667584, 0.03546125, -0.036147036, -0.0014082686, -0.0076637426, 0.035353336, -0.0323862, -0.002078937, -0.0076711588, 0.031533174, -0.0340773, -0.0017740594, -0.0076645706, 0.033251528
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.397287185770041e-05, 14.57725973255684, 14.577273705428697, -0.05725973255684025, 14.57725973255684, 14.52, 14.577245858735088, 1.397287185770041e-05, 14.57725973255684, 14.577273705428697, -0.05725973255684025, 14.57725973255684, 14.52, 14.577245858735088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 6.37944, -0.031732682, 1.3670478, 0.1395967, -0.03173296, -6.37944, 0.13959664, -1.3670478, 0.0035780258, -2.685576e-06, -2.6857324e-06, -0.0035780258, 0.0019138455, -7.851331e-07, -7.852159e-07, -0.0019138455, -0.046511542, 1.0691808e-05, 1.06938405e-05, 0.046511542, -0.046414174, 1.5282953e-05, 1.528498e-05, 0.046414174, -0.042933516, 8.006232e-06, 8.008108e-06, 0.042933516, -0.04450033, 1.4497819e-05, 1.4499765e-05, 0.04450033
