deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.766871738820246, 0.7691016454005837, 4.53597338422083, 3.7638983545994167, 0.7691016454005837, 4.533, 4.535973450921896, 3.766871738820246, 0.7691016454005837, 4.53597338422083, 3.7638983545994167, 0.7691016454005837, 4.533, 4.535973450921896, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.5245256, -0.9470779, 1.7924187, -0.2830327, 2.3217142, -1.371069, 1.7160398, -0.58998305, 0.0020301868, -0.0004598198, 0.0019194966, -0.0008053724, 0.0012855179, -0.00018315006, 0.0012341843, -0.00040359545, 0.0012215304, -0.0005840765, 0.0011015488, -0.0007873196, 0.0012618134, -0.0005943162, 0.0011394417, -0.00080439885, 0.0032517172, -0.0010438963, 0.0030210454, -0.001592692, 0.0025473314, -0.0007774663, 0.002373626, -0.0012079943
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.470533568566562, 1.8487382416221938, 6.319271810188756, 4.463261758377806, 1.8487382416221938, 6.312, 6.319271810188757, 4.470533568566562, 1.8487382416221938, 6.319271810188756, 4.463261758377806, 1.8487382416221938, 6.312, 6.319271810188757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 3.1109023, -1.1736898, 2.048059, -0.08672035, 2.5218663, -2.166899, 1.8948858, -0.7819679, 0.0023945202, -0.0004661673, 0.0020906744, -0.0012570282, 0.0014746457, -0.00014753721, 0.001335253, -0.00064299814, -0.0033310065, -0.00091720436, -0.0034438246, 0.00027738116, -0.0032818732, -0.0009293398, -0.003401805, 0.00024917303, -0.0009364862, -0.0013833717, -0.0013531501, -0.000979647, -0.0018072275, -0.001076877, -0.002066552, -0.00039382512
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.514525589710998, 3.59018995283509, 8.104715542546089, 4.50081004716491, 3.59018995283509, 8.091, 8.10471634295888, 4.514525589710998, 3.59018995283509, 8.104715542546089, 4.50081004716491, 3.59018995283509, 8.091, 8.10471634295888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.715792, -1.3859268, 2.1636133, 0.13089336, 2.5250068, -3.0581439, 1.9391907, -0.9684497, 0.002698341, -0.0004745304, 0.0020995662, -0.0017601257, 0.0016073356, -0.00012523425, 0.0013293764, -0.0009121238, -0.0090051405, -0.0011512957, -0.008374328, 0.003505519, -0.008947328, -0.0011653306, -0.008331278, 0.003464458, -0.0063067996, -0.0016258261, -0.0062747616, 0.0017453932, -0.007339992, -0.0012905649, -0.007001902, 0.0025523342
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.9758974053723213, 5.810950989466424, 9.786848394838746, 3.954049010533576, 5.810950989466424, 9.765, 9.786844659579044, 3.9758974053723213, 5.810950989466424, 9.786848394838746, 3.954049010533576, 5.810950989466424, 9.765, 9.786844659579044, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 4.3298955, -1.4908744, 2.1509378, 0.33459613, 2.3585768, -3.9252794, 1.8627882, -1.1262808, 0.0029521342, -0.00045582163, 0.0019684704, -0.0022467757, 0.0016993303, -0.00010727404, 0.0012328085, -0.0011744853, -0.01596051, -0.0012820617, -0.013050554, 0.0092771035, -0.01589418, -0.0012967007, -0.013009151, 0.009223253, -0.013008377, -0.0017378833, -0.011082084, 0.007030328, -0.01419485, -0.0014039747, -0.011776343, 0.008048767
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.012193998863488, 8.073525323618666, 11.085719322482154, 2.9764746763813346, 8.073525323618666, 11.05, 11.085719322482154, 3.012193998863488, 8.073525323618666, 11.085719322482154, 2.9764746763813346, 8.073525323618666, 11.05, 11.085719322482154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.879601, -1.4300833, 2.0226362, 0.4859207, 2.0410397, -4.657231, 1.6723623, -1.2370853, 0.0031333528, -0.00039576227, 0.0017109085, -0.0026546791, 0.0017482154, -8.90228e-05, 0.0010555359, -0.0013964325, -0.024178112, -0.0012973886, -0.016535249, 0.017687563, -0.02410445, -0.0013106243, -0.016498039, 0.017622625, -0.02104476, -0.0016931508, -0.01482434, 0.015032884, -0.022356234, -0.0013996471, -0.015442503, 0.016226193
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.9888869943295447, 7.165304931120022, 8.154191925449567, 0.9606950688799776, 7.165304931120022, 8.126, 8.15418879049946, 0.9888869943295447, 7.165304931120022, 8.154191925449567, 0.9606950688799776, 7.165304931120022, 8.126, 8.15418879049946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.4027567, -1.211031, 1.4440807, 0.35633972, 1.1525944, -4.4184146, 1.0306395, -1.0724407, 0.0026609544, -0.00040690904, 0.0009780833, -0.0025079101, 0.0014409907, -0.00016130041, 0.0005808044, -0.0013285857, -0.025861822, -0.0013606095, -0.014109232, 0.021716692, -0.02579588, -0.0013723349, -0.014086416, 0.021653723, -0.023200868, -0.0017675186, -0.013131149, 0.019208781, -0.02435489, -0.0015336353, -0.013505612, 0.020325137
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.9741535292378868, 11.377706707849025, 12.351860237086912, 0.932293292150975, 11.377706707849025, 12.31, 12.351853900485631, 0.9741535292378868, 11.377706707849025, 12.351860237086912, 0.932293292150975, 11.377706707849025, 12.31, 12.351853900485631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.632476, -0.8438779, 1.5998782, 0.56067944, 1.1334343, -5.5814195, 1.0740569, -1.3116301, 0.003303878, -0.00017119804, 0.00096911937, -0.003163185, 0.0017697737, -4.7894893e-05, 0.00056029204, -0.0016794242, -0.043476857, -0.0010793422, -0.015884211, 0.040485725, -0.043393902, -0.0010842641, -0.015860464, 0.04040609, -0.04017298, -0.0012505403, -0.014915092, 0.03732254, -0.04162413, -0.001132159, -0.015300172, 0.038726665
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.1683399172032821, 11.835576976597293, 12.003916893800575, 0.1244230234027075, 11.835576976597293, 11.96, 12.003908055909315, 0.1683399172032821, 11.835576976597293, 12.003916893800575, 0.1244230234027075, 11.835576976597293, 11.96, 12.003908055909315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 5.7119164, -0.55333793, 1.3367534, 0.36631244, 0.44693267, -5.7212253, 0.5928722, -1.2528355, 0.00325403, -0.00016277679, 0.0004047528, -0.0032328628, 0.0017317869, -0.00011197431, 0.00019044802, -0.0017249212, -0.053930044, -0.0009823834, -0.010332315, 0.052940138, -0.053846546, -0.000983974, -0.010319382, 0.05285763, -0.050676014, -0.0011451602, -0.009927562, 0.049707275, -0.05211476, -0.0010959483, -0.010128934, 0.05113271
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.1396093106511623e-05, 10.266090218778277, 10.266111614871384, -0.036090218778277006, 10.266090218778277, 10.23, 10.266111563119434, 2.1396093106511623e-05, 10.266090218778277, 10.266111614871384, -0.036090218778277006, 10.266090218778277, 10.23, 10.266111563119434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.3536415, -0.041902963, 1.1451943, 0.08666983, -0.041903198, -5.3536415, 0.08666978, -1.1451943, 0.0030032173, -2.2541499e-06, -2.2542663e-06, -0.0030032173, 0.0016063303, -6.5896893e-07, -6.5902714e-07, -0.0016063303, -0.06395982, -0.0009298836, -0.0009298808, 0.06395982, -0.06387892, -0.0009286137, -0.0009286109, 0.06387892, -0.060956605, -0.0009321378, -0.0009321351, 0.060956605, -0.062272593, -0.0009292727, -0.00092926994, 0.062272593
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00014398014617305517, 7.357788199667444, 7.357932179813616, -0.02278819966744372, 7.357788199667444, 7.335, 7.357922135408199, 0.00014398014617305517, 7.357788199667444, 7.357932179813616, -0.02278819966744372, 7.357788199667444, 7.335, 7.357922135408199, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 4.479655, 0.6877692, 0.9666618, 0.11549406, -0.100563526, -4.5310287, -0.05411964, -0.97203135, 0.0025041401, 0.00043933795, -2.1755695e-06, -0.0025423914, 0.0013395995, 0.00023559795, -6.0070306e-07, -0.0013601556, -0.07248758, -0.0009114081, 0.011689775, 0.071544595, -0.072419696, -0.00089766574, 0.011691521, 0.07147536, -0.06998344, -0.00047207015, 0.011687599, 0.0690022, -0.071080096, -0.0006620678, 0.01169092, 0.0701152
110.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0001006688771515771, 4.010571821189243, 4.010672490066395, -0.01157182118924327, 4.010571821189243, 3.999, 4.010675074439587, 0.0001006688771515771, 4.010571821189243, 4.010672490066395, -0.01157182118924327, 4.010571821189243, 3.999, 4.010675074439587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109.99999850756943, 3.1758194, 1.0558889, 0.69908255, 0.17034572, -0.09398317, -3.3454292, -0.07902768, -0.7151844, 0.0017649233, 0.0006407597, -1.5217811e-06, -0.0018776357, 0.00094388425, 0.000343106, -4.1350722e-07, -0.0010043159, -0.07885899, -0.00087775465, 0.02614654, 0.07440341, -0.07881172, -0.0008580262, 0.026148913, 0.07435226, -0.07709406, -0.0002369949, 0.026145019, 0.07252578, -0.077867836, -0.0005149202, 0.0261485, 0.07334794
120.0, 1.0, 1.144, 1.144, 0.0, 1.0, 5.103114391320625e-05, 1.6218157452169661, 1.6218667763608794, -0.00481574521696615, 1.6218157452169661, 1.617, 1.6218649706037578, 5.103114391320625e-05, 1.6218157452169661, 1.6218667763608794, -0.00481574521696615, 1.6218157452169661, 1.617, 1.6218649706037578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 120.00000333930423, 1.8750633, 1.0061947, 0.42512935, 0.1727133, -0.066141605, -2.1269498, -0.062990606, -0.45452946, 0.0010348558, 0.00059621944, -1.0840595e-06, -0.0011943206, 0.0005533248, 0.0003191452, -2.7567148e-07, -0.0006387755, -0.08304724, -0.000692448, 0.040923946, 0.07226724, -0.08302033, -0.0006740946, 0.040926386, 0.072234765, -0.082012385, -9.622854e-05, 0.04092286, 0.07107292, -0.082467005, -0.00035494938, 0.04092611, 0.07159599
130.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.6158671168101907e-05, 0.48551299147444765, 0.48552915014561576, -0.0013129914744476334, 0.48551299147444765, 0.4842, 0.48552749895632735, 1.6158671168101907e-05, 0.48551299147444765, 0.48552915014561576, -0.0013129914744476334, 0.48551299147444765, 0.4842, 0.48552749895632735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 130.00000134084985, 0.91592205, 0.7192091, 0.21354255, 0.13065568, -0.037797272, -1.1639357, -0.037174456, -0.24756694, 0.00050112605, 0.00041972997, -5.8859587e-07, -0.00065368414, 0.00026786327, 0.00022455343, -1.6018748e-07, -0.00034953654, -0.085564055, -0.00043336433, 0.05466754, 0.06582443, -0.085551895, -0.000420411, 0.054669645, 0.065806784, -0.08506293, -1.3634357e-05, 0.05466695, 0.06517074, -0.08528403, -0.00019585757, 0.054669484, 0.06545725
