deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6699604258427567, 0.7565300285627273, 4.426490454405484, 3.6664699714372726, 0.7565300285627273, 4.423, 4.426490587807616, 3.6699604258427567, 0.7565300285627273, 4.426490454405484, 3.6664699714372726, 0.7565300285627273, 4.423, 4.426490587807616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.492972, -0.94165564, 1.769737, -0.28081545, 2.2915812, -1.3602498, 1.6940875, -0.5838609, 0.0020045633, -0.00045767892, 0.0018946343, -0.0007988146, 0.001269139, -0.00018284353, 0.0012181075, -0.00040044938, 0.001839495, -0.0006023599, 0.0017069503, -0.0009126336, 0.0018792829, -0.0006126353, 0.0017443493, -0.000929662, 0.0038440584, -0.0010600388, 0.0036015846, -0.0017114482, 0.0031484219, -0.0007954788, 0.0029624568, -0.0013301114
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.999113111639489, 1.771576047103826, 5.770689158743315, 3.992423952896174, 1.771576047103826, 5.764, 5.770689158743315, 3.999113111639489, 1.771576047103826, 5.770689158743315, 3.992423952896174, 1.771576047103826, 5.764, 5.770689158743315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9672194, -1.180872, 1.9451449, -0.09579931, 2.384392, -2.1245055, 1.795073, -0.75530064, 0.0022791284, -0.00048061344, 0.0019773005, -0.0012311367, 0.001401488, -0.00016115943, 0.0012618481, -0.00063077756, -0.0012889745, -0.0010201536, -0.001560153, -0.00051777554, -0.0012420269, -0.0010328266, -0.0015203711, -0.0005457413, 0.0009901538, -0.0015007671, 0.0004171476, -0.0017489123, 0.00015946105, -0.001193986, -0.00025852292, -0.0011765189
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.36316487019018, 3.0171960452134647, 6.380360915403645, 3.351803954786535, 3.0171960452134647, 6.369, 6.380360381795116, 3.36316487019018, 3.0171960452134647, 6.380360915403645, 3.351803954786535, 3.0171960452134647, 6.369, 6.380360381795116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2903626, -1.3438618, 1.8909566, 0.08567415, 2.1776066, -2.8089998, 1.6804535, -0.87128234, 0.002376492, -0.0004923574, 0.0018119239, -0.0016146399, 0.0014108231, -0.00015355425, 0.0011450318, -0.00083839335, -0.005207644, -0.0012943071, -0.0051571056, 0.0014829191, -0.0051562195, -0.0013087147, -0.0051197745, 0.0014447295, -0.002831152, -0.0017866645, -0.0033451817, -0.0001317208, -0.0037453964, -0.001462269, -0.0039747427, 0.00060633617
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.5659553288283408, 4.779100971339376, 7.345056300167716, 2.5478990286606242, 4.779100971339376, 7.327, 7.345056833776246, 2.5659553288283408, 4.779100971339376, 7.345056300167716, 2.5478990286606242, 4.779100971339376, 7.327, 7.345056833776246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.7429721, -1.5195304, 1.7967149, 0.21308286, 1.8905475, -3.569964, 1.5133306, -0.9916752, 0.00252186, -0.00054625794, 0.0015807291, -0.0020394782, 0.0014414629, -0.00018613506, 0.0009845789, -0.001069142, -0.008356991, -0.0017149139, -0.007504152, 0.0040580705, -0.008299055, -0.0017314653, -0.007470409, 0.00400815, -0.0058351313, -0.0022611718, -0.005923423, 0.0020185923, -0.0068575917, -0.0019176004, -0.00648583, 0.0029390082
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.444183469039694, 6.417874662202882, 7.862058131242576, 1.4191253377971176, 6.417874662202882, 7.837, 7.862059465263898, 1.444183469039694, 6.417874662202882, 7.862058131242576, 1.4191253377971176, 6.417874662202882, 7.837, 7.862059465263898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.0966377, -1.6045213, 1.5761874, 0.23923586, 1.4041336, -4.169573, 1.1964191, -1.0536517, 0.0025763037, -0.0006169097, 0.0011834353, -0.0023701047, 0.0014203871, -0.00025473186, 0.0007178709, -0.0012518177, -0.012413726, -0.0019950622, -0.009507695, 0.008227064, -0.012350839, -0.0020128763, -0.009480919, 0.008167439, -0.0098374225, -0.002611972, -0.00832426, 0.0058569596, -0.010930452, -0.0022676082, -0.008763048, 0.0069156215
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.5984881890082931, 7.1042499768509835, 7.702738165859277, 0.5697500231490169, 7.1042499768509835, 7.674, 7.70273569791983, 0.5984881890082931, 7.1042499768509835, 7.702738165859277, 0.5697500231490169, 7.1042499768509835, 7.674, 7.70273569791983, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.263585, -1.4362706, 1.3194559, 0.21053421, 0.8879454, -4.4105086, 0.84205586, -1.0374153, 0.0025444273, -0.0005911918, 0.0007602265, -0.0024991352, 0.0013687536, -0.000283533, 0.00043882988, -0.0013271421, -0.018029388, -0.0018361643, -0.010604858, 0.014695827, -0.017964609, -0.0018517317, -0.010585951, 0.014631943, -0.015484961, -0.002427356, -0.009844632, 0.012196692, -0.016595855, -0.0021352647, -0.010147121, 0.013304801
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.009773617588039758, 11.918755874083354, 11.928529491671394, -0.03875587408335335, 11.918755874083354, 11.88, 11.928527313464704, 0.009773617588039758, 11.918755874083354, 11.928529491671394, -0.03875587408335335, 11.918755874083354, 11.88, 11.928527313464704, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.4470687, -1.8666079, 1.2652073, -0.08386133, 0.10896969, -5.756988, 0.35392252, -1.2175882, 0.003093928, -0.0009906385, 0.00012729038, -0.0032461602, 0.0016346294, -0.0005853728, 9.005889e-06, -0.0017362591, -0.024479697, -0.0022483934, -0.010485348, 0.022234395, -0.02439663, -0.002269512, -0.010476783, 0.022149114, -0.021385768, -0.0032390319, -0.010358058, 0.018988235, -0.022762, -0.0028548848, -0.010467777, 0.020412855
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00010053115964275848, 17.36301962022118, 17.363120151380823, -0.0630196202211799, 17.36301962022118, 17.3, 17.363111400888155, 0.00010053115964275848, 17.36301962022118, 17.363120151380823, -0.0630196202211799, 17.36301962022118, 17.3, 17.363111400888155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.8438683, -1.276842, 1.4903584, -0.17674762, -0.069018364, -6.9616156, 0.08473568, -1.4984083, 0.0038435347, -0.0006813265, -3.5529956e-06, -0.003903456, 0.0020568892, -0.00036352093, -8.2328916e-07, -0.0020887665, -0.036045402, -0.0014844725, -0.00772114, 0.035240017, -0.035938874, -0.0014994305, -0.0077173724, 0.03513251, -0.032201868, -0.002165799, -0.007724693, 0.03133656, -0.033881985, -0.0018629514, -0.0077181957, 0.033043742
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.772599108977855e-05, 14.218993899031457, 14.219031625022547, -0.04899389903145668, 14.218993899031457, 14.17, 14.219032318845539, 3.772599108977855e-05, 14.218993899031457, 14.219031625022547, -0.04899389903145668, 14.218993899031457, 14.17, 14.219032318845539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 6.3013053, -0.05313064, 1.3519217, 0.09678258, -0.053130917, -6.3013053, 0.09678252, -1.3519217, 0.0035328604, -2.6516718e-06, -2.651832e-06, -0.0035328604, 0.0018900447, -7.753697e-07, -7.7544973e-07, -0.0018900447, -0.04638529, -8.476954e-05, -8.476751e-05, 0.04638529, -0.046288677, -8.0145124e-05, -8.01431e-05, 0.046288677, -0.042852428, -8.742121e-05, -8.741934e-05, 0.042852428, -0.044398632, -8.0920494e-05, -8.091855e-05, 0.044398632
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00028965371125849634, 19.784981221132433, 19.785270874843693, -0.06498122113243454, 19.784981221132433, 19.72, 19.785269369738042, 0.00028965371125849634, 19.784981221132433, 19.785270874843693, -0.06498122113243454, 19.784981221132433, 19.72, 19.785269369738042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 7.3404546, 1.1580644, 1.5743603, 0.24995263, -0.13418591, -7.430032, -0.027229533, -1.593846, 0.0041063577, 0.0007204386, -3.5678968e-06, -0.0041690767, 0.0021966994, 0.00038633862, -9.834766e-07, -0.0022304133, -0.0764583, -0.0001863468, 0.013093329, 0.07532908, -0.076347135, -0.00016243817, 0.013097571, 0.07521546, -0.07235194, 0.0005340918, 0.013089761, 0.07116, -0.074150436, 0.00022390047, 0.013096588, 0.072985046
