deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.7236350405484786, 0.7588702354673161, 4.482505276015795, 3.720129764532684, 0.7588702354673161, 4.479, 4.482504809108332, 3.7236350405484786, 0.7588702354673161, 4.482505276015795, 3.720129764532684, 0.7588702354673161, 4.479, 4.482504809108332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.5097768, -0.9403036, 1.7820041, -0.28113052, 2.3083658, -1.3618366, 1.7061137, -0.5863013, 0.0020183711, -0.00045643235, 0.001908449, -0.0007999847, 0.0012780671, -0.00018169533, 0.0012270992, -0.00040086906, 0.0013166844, -0.0005792944, 0.0011960876, -0.00079913344, 0.0013567343, -0.0005894521, 0.0012337652, -0.00081609143, 0.0033350557, -0.0010357267, 0.0031045366, -0.0015991181, 0.0026348014, -0.00077114743, 0.0024608644, -0.0012169605
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.360461601636369, 1.7809456792629084, 6.141407280899277, 4.354054320737092, 1.7809456792629084, 6.135, 6.141406747290748, 4.360461601636369, 1.7809456792629084, 6.141407280899277, 4.354054320737092, 1.7809456792629084, 6.135, 6.141406747290748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 3.0677624, -1.1460671, 2.0211968, -0.08309802, 2.4907756, -2.1261873, 1.8708826, -0.7693767, 0.0023622, -0.00045305403, 0.0020647887, -0.0012336515, 0.0014551288, -0.00014171441, 0.0013189046, -0.0006308513, -0.0030069477, -0.00089470233, -0.003131613, 0.00018769153, -0.0029584898, -0.00090648496, -0.003090107, 0.00016004592, -0.0006447475, -0.0013477564, -0.0010668243, -0.00104596, -0.001503361, -0.0010481994, -0.0017712025, -0.0004708054
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.417631085402169, 3.4031473568484065, 7.8207784422505755, 4.404852643151593, 3.4031473568484065, 7.808, 7.8207784422505755, 4.417631085402169, 3.4031473568484065, 7.8207784422505755, 4.404852643151593, 3.4031473568484065, 7.808, 7.8207784422505755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.6514843, -1.327998, 2.1334429, 0.13742264, 2.498279, -2.975822, 1.916327, -0.9477099, 0.0026553888, -0.0004453133, 0.0020769774, -0.001713347, 0.0015831473, -0.00011064974, 0.0013157208, -0.0008873991, -0.008386138, -0.0011033389, -0.007814278, 0.0032375494, -0.008329327, -0.0011165881, -0.007771703, 0.00319767, -0.005730749, -0.0015486522, -0.0057373005, 0.0015242024, -0.00674618, -0.0012272379, -0.006455982, 0.002310271
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.99736447649026, 5.501593579266564, 9.498958055756823, 3.9764064207334355, 5.501593579266564, 9.478, 9.498956454931237, 3.99736447649026, 5.501593579266564, 9.498958055756823, 3.9764064207334355, 5.501593579266564, 9.478, 9.498956454931237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 4.2657657, -1.4026451, 2.137135, 0.35140213, 2.366163, -3.8164701, 1.8630173, -1.1045344, 0.0029169833, -0.0004054053, 0.0019739494, -0.0021855594, 0.00168203, -7.890118e-05, 0.0012377938, -0.0011416301, -0.015062357, -0.0012106027, -0.012316595, 0.008754522, -0.014997039, -0.0012239763, -0.012275156, 0.008702291, -0.012145374, -0.001616008, -0.010342645, 0.0065689622, -0.013315009, -0.0013028774, -0.011037362, 0.007560661
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.879748626729007, 7.4287640037059255, 10.308512630434933, 2.851235996294074, 7.4287640037059255, 10.28, 10.308511029609345, 2.879748626729007, 7.4287640037059255, 10.308512630434933, 2.851235996294074, 7.4287640037059255, 10.28, 10.308511029609345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.7043614, -1.341147, 1.9614305, 0.4840585, 1.9965271, -4.4658227, 1.6315937, -1.1913961, 0.003025828, -0.00035501597, 0.0016730065, -0.0025461186, 0.0016898178, -6.906327e-05, 0.0010332884, -0.0013388703, -0.022439752, -0.0012388654, -0.015373021, 0.01639352, -0.02236876, -0.0012510545, -0.015336727, 0.016331304, -0.019413924, -0.0015938814, -0.013700015, 0.013847401, -0.020678943, -0.0013201177, -0.014303438, 0.014992434
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.3136051931478596, 7.186712771691251, 8.50031796483911, 1.2852872283087482, 7.186712771691251, 8.472, 8.500318765251905, 1.3136051931478596, 7.186712771691251, 8.50031796483911, 1.2852872283087482, 7.186712771691251, 8.472, 8.500318765251905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.4930725, -1.0528963, 1.5291253, 0.45653522, 1.3347011, -4.4175634, 1.1599337, -1.0959939, 0.0027377568, -0.0002781154, 0.0011280235, -0.0025100242, 0.0014889799, -7.611432e-05, 0.0006785728, -0.0013275519, -0.025185017, -0.0012331541, -0.0136604505, 0.021194289, -0.0251179, -0.001242216, -0.013634739, 0.021131633, -0.02244726, -0.0015112695, -0.012532427, 0.018684264, -0.02362892, -0.0013183303, -0.012956167, 0.019804081
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.1496470357302324, 11.29960349468993, 12.449250530420162, 1.100396505310071, 11.29960349468993, 12.4, 12.449250263615898, 1.1496470357302324, 11.29960349468993, 12.449250530420162, 1.100396505310071, 11.29960349468993, 12.4, 12.449250263615898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.645296, -0.73966694, 1.6322724, 0.62499607, 1.2357455, -5.557824, 1.1455742, -1.3200731, 0.0033215024, -8.812151e-05, 0.0010532141, -0.003151331, 0.001781527, 6.4922497e-06, 0.0006154189, -0.0016718656, -0.042296432, -0.001009063, -0.015414442, 0.039400525, -0.04221341, -0.0010123339, -0.015389119, 0.03932139, -0.03897493, -0.0010971845, -0.014361228, 0.036249194, -0.040431883, -0.0010058417, -0.0147737, 0.037649523
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.24652150411506113, 11.919611782163722, 12.166133286278782, 0.20038821783627725, 11.919611782163722, 12.12, 12.16612931756535, 0.24652150411506113, 11.919611782163722, 12.166133286278782, 0.20038821783627725, 11.919611782163722, 12.12, 12.16612931756535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 5.7453613, -0.4565649, 1.3656993, 0.43493482, 0.54804313, -5.737358, 0.6654784, -1.2694256, 0.0032788515, -8.252554e-05, 0.000488095, -0.0032433681, 0.0017455444, -5.9431593e-05, 0.00024458207, -0.0017293505, -0.052775078, -0.00092196115, -0.010072254, 0.051813208, -0.052691214, -0.00092199404, -0.010057722, 0.051730614, -0.049496226, -0.0010044867, -0.009584159, 0.04856984, -0.05094567, -0.0009814256, -0.00981314, 0.050001264
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.0016365432360258e-05, 8.827053670804158, 8.827073687169591, -0.03505367080415844, 8.827053670804158, 8.792, 8.827073414319727, 2.0016365432360258e-05, 8.827053670804158, 8.827073687169591, -0.03505367080415844, 8.827053670804158, 8.792, 8.827073414319727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 4.9643035, -0.03972876, 1.0620797, 0.078720525, -0.039728977, -4.9643035, 0.07872048, -1.0620797, 0.002784714, -2.0901207e-06, -2.090237e-06, -0.002784714, 0.0014894828, -6.11064e-07, -6.1112223e-07, -0.0014894828, -0.058438126, -0.00088671455, -0.000886712, 0.058438126, -0.05836307, -0.0008855496, -0.000885547, 0.05836307, -0.055653412, -0.0008888047, -0.0008888022, 0.055653412, -0.056873586, -0.00088616065, -0.00088615814, 0.056873586
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0001339110209758457, 7.453687790874125, 7.453821701895101, -0.023687790874125092, 7.453687790874125, 7.43, 7.453830264351343, 0.0001339110209758457, 7.453687790874125, 7.453821701895101, -0.023687790874125092, 7.453687790874125, 7.43, 7.453830264351343, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 4.507747, 0.6982796, 0.97108847, 0.12830107, -0.095090985, -4.560519, -0.042275876, -0.9786147, 0.002520308, 0.00044217522, -2.1895394e-06, -0.0025587976, 0.001348272, 0.00023712381, -6.03497e-07, -0.0013689697, -0.0713043, -0.0007843423, 0.011609437, 0.07035722, -0.071235985, -0.0007705407, 0.0116111655, 0.070287555, -0.06878399, -0.00034216707, 0.011607247, 0.06779842, -0.06988771, -0.00053341687, 0.011610562, 0.068918586
