deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6580019919056808, 0.7555051666818948, 4.413507158587576, 3.6544948333181053, 0.7555051666818948, 4.41, 4.413507091886509, 3.6580019919056808, 0.7555051666818948, 4.413507158587576, 3.6544948333181053, 0.7555051666818948, 4.41, 4.413507091886509, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.489139, -0.9414873, 1.7669907, -0.28065783, 2.2878358, -1.3594185, 1.6914103, -0.5832287, 0.002001408, -0.00045768905, 0.0018915256, -0.0007982766, 0.0012671169, -0.00018295588, 0.0012160965, -0.00040020887, 0.0018417077, -0.00060544617, 0.0017085933, -0.00091605727, 0.0018814298, -0.00061573845, 0.0017459247, -0.0009330909, 0.0038431159, -0.0010631352, 0.003600119, -0.0017143339, 0.0031485467, -0.0007986943, 0.0029620212, -0.0013332998
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.9016116276290282, 1.7672556856495285, 5.6688673132785565, 3.894744314350471, 1.7672556856495285, 5.662, 5.6688675800828205, 3.9016116276290282, 1.7672556856495285, 5.6688673132785565, 3.894744314350471, 1.7672556856495285, 5.662, 5.6688675800828205, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.9389622, -1.1895134, 1.9239274, -0.09913471, 2.3548837, -2.1229613, 1.7739943, -0.7511781, 0.0022558689, -0.0004876866, 0.0019530246, -0.0012298281, 0.0013865057, -0.00016624352, 0.0012460306, -0.00063043076, -0.0012943794, -0.001034524, -0.0015701468, -0.0005294307, -0.0012478898, -0.0010474104, -0.0015308684, -0.00055744033, 0.0009614895, -0.0015222105, 0.00038287794, -0.0017592588, 0.00013861585, -0.001213654, -0.00028483782, -0.0011878711
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.104747864593921, 2.974543915085115, 6.079291779679036, 3.0934560849148847, 2.974543915085115, 6.068, 6.0792915128747715, 3.104747864593921, 2.974543915085115, 6.079291779679036, 3.0934560849148847, 2.974543915085115, 6.068, 6.0792915128747715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.207085, -1.372219, 1.8297447, 0.06733669, 2.0913074, -2.7919188, 1.6182737, -0.8565571, 0.0023094497, -0.0005184881, 0.0017407984, -0.0016037486, 0.0013684423, -0.00017248315, 0.0010988642, -0.000833596, -0.0051185256, -0.0013343979, -0.0050999722, 0.0014036403, -0.005068406, -0.0013494677, -0.0050641024, 0.0013655297, -0.0028090759, -0.001852886, -0.003359174, -0.00020010839, -0.0036999637, -0.0015219508, -0.003965238, 0.00053193374
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.1915230245069197, 4.60348613560777, 6.79500916011469, 2.1735138643922305, 4.60348613560777, 6.777, 6.795008893310425, 2.1915230245069197, 4.60348613560777, 6.79500916011469, 2.1735138643922305, 4.60348613560777, 6.777, 6.795008893310425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.5918689, -1.5657998, 1.6948345, 0.16903818, 1.7450544, -3.5082812, 1.4069742, -0.9599279, 0.0024060933, -0.0005952235, 0.0014605722, -0.0020025747, 0.0013704663, -0.00022218819, 0.0009070183, -0.0010511249, -0.00828353, -0.0017574088, -0.007475193, 0.0039782976, -0.008227909, -0.001775047, -0.007443922, 0.0039290334, -0.005877437, -0.0023526323, -0.006014621, 0.0019757228, -0.0068574427, -0.0019972352, -0.006536904, 0.0028779085
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.1326566733655614, 6.0869034385396334, 7.219560111905195, 1.1090965614603663, 6.0869034385396334, 7.196, 7.219561179122253, 1.1326566733655614, 6.0869034385396334, 7.219560111905195, 1.1090965614603663, 6.0869034385396334, 7.196, 7.219561179122253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 3.9116924, -1.6636376, 1.4651238, 0.17366219, 1.2399672, -4.065896, 1.0747964, -1.0107219, 0.002442426, -0.0006818464, 0.0010476355, -0.0023092893, 0.0013408912, -0.00030188006, 0.0006306544, -0.0012212265, -0.012260019, -0.002051861, -0.009452404, 0.008072808, -0.01219991, -0.0020710358, -0.009428456, 0.008014437, -0.009817593, -0.0027337074, -0.008404769, 0.005763519, -0.010859019, -0.0023729159, -0.008797802, 0.0067932103
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.2632347235500311, 6.26168797940026, 6.524922702950291, 0.23831202059974022, 6.26168797940026, 6.5, 6.524923470012551, 0.2632347235500311, 6.26168797940026, 6.524922702950291, 0.23831202059974022, 6.26168797940026, 6.5, 6.524923470012551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 3.884517, -1.5744821, 1.1216784, 0.056637537, 0.57871675, -4.1513314, 0.6098887, -0.9430832, 0.0022859015, -0.00073781493, 0.00050398335, -0.0023485562, 0.001220271, -0.00038688956, 0.00027507916, -0.0012502307, -0.017121822, -0.0019681863, -0.010265409, 0.01384384, -0.017062599, -0.0019867367, -0.010251863, 0.013783277, -0.01483592, -0.0027060013, -0.009761426, 0.011495284, -0.015842328, -0.0023736262, -0.009976784, 0.012533046
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.8532567973476405e-05, 9.397383004236685, 9.397401536804658, -0.03938300423668473, 9.397383004236685, 9.358, 9.397362727112586, 1.8532567973476405e-05, 9.397383004236685, 9.397401536804658, -0.03938300423668473, 9.397383004236685, 9.358, 9.397362727112586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 4.805731, -1.7680075, 1.0747579, -0.25809324, -0.017726779, -5.120604, 0.12506057, -1.0982151, 0.0026992634, -0.0009852506, -2.630055e-06, -0.0028734542, 0.0014438778, -0.0005262005, -6.314367e-07, -0.0015367717, -0.02279047, -0.0024056039, -0.010055328, 0.02059327, -0.022715908, -0.0024310823, -0.010053769, 0.020514492, -0.020091206, -0.0033908545, -0.010057958, 0.017719816, -0.02127203, -0.0029572828, -0.0100544, 0.01897772
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00022503496905281844, 12.104657615035235, 12.104882650004287, -0.03465761503523446, 12.104657615035235, 12.07, 12.104884932268549, 0.00022503496905281844, 12.104657615035235, 12.104882650004287, -0.03465761503523446, 12.104657615035235, 12.07, 12.104884932268549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 5.7038884, -1.1278621, 1.2252694, -0.26945642, -0.1202572, -5.8130846, -0.05259691, -1.2534454, 0.0032083, -0.0005687217, -2.9657967e-06, -0.0032583158, 0.00171718, -0.00030348264, -6.8638474e-07, -0.0017437916, -0.030953193, -0.0021742047, -0.0075161406, 0.030105397, -0.030863393, -0.0021873068, -0.0075134505, 0.030014686, -0.027744893, -0.0027429264, -0.0075191064, 0.026847081, -0.029146213, -0.0024907894, -0.007514137, 0.028270895
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00014174759830661238, 10.62045003787206, 10.620591785470365, -0.030450037872059355, 10.62045003787206, 10.59, 10.620591977740748, 0.00014174759830661238, 10.62045003787206, 10.620591785470365, -0.030450037872059355, 10.62045003787206, 10.59, 10.620591977740748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.445956, -0.10080525, 1.1687504, -0.024443774, -0.10080549, -5.445956, -0.024443824, -1.1687504, 0.00305311, -2.2915774e-06, -2.2916938e-06, -0.00305311, 0.0016334355, -6.700866e-07, -6.701448e-07, -0.0016334355, -0.041787863, -0.0008900481, -0.0008900463, 0.041787863, -0.0417037, -0.00088572723, -0.0008857254, 0.0417037, -0.038734753, -0.0008923397, -0.000892338, 0.038734753, -0.040070266, -0.0008863973, -0.0008863956, 0.040070266
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0001450497081902252, 8.080314958540482, 8.080460008248671, -0.02531495854048238, 8.080314958540482, 8.055, 8.08045262954094, 0.0001450497081902252, 8.080314958540482, 8.080460008248671, -0.02531495854048238, 8.080314958540482, 8.055, 8.08045262954094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 4.6934433, 0.72706515, 1.0113231, 0.13387379, -0.09898853, -4.748393, -0.043774486, -1.0192057, 0.002624005, 0.0004603676, -2.2798777e-06, -0.0026640855, 0.0014037676, 0.0002468843, -6.277114e-07, -0.001425311, -0.053519405, -0.0005083005, 0.008792969, 0.05279459, -0.053448115, -0.00049254164, 0.00879611, 0.052721646, -0.0508954, -4.7932906e-05, 0.0087906895, 0.050130505, -0.052044347, -0.00024565734, 0.008795482, 0.051296335
