deltatheta [deg],Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.720844534746558, 0.7567081204092502, 4.477552655155808, 3.71729187959075, 0.7567081204092502, 4.474, 4.477552388351544, 3.720844534746558, 0.7567081204092502, 4.477552655155808, 3.71729187959075, 0.7567081204092502, 4.474, 4.477552388351544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.508594, -0.9384563, 1.7812492, -0.28076005, 2.3075216, -1.3598119, 1.7054344, -0.5858054, 0.0020174538, -0.0004554029, 0.0019077245, -0.00079881155, 0.0012775251, -0.00018116727, 0.0012266572, -0.0004002548, 0.0013167431, -0.0005808462, 0.0011958758, -0.00080067187, 0.0013567727, -0.00059098826, 0.0012335362, -0.00081761094, 0.003334197, -0.0010362491, 0.0031036003, -0.0015994834, 0.0026342978, -0.00077215553, 0.0024601934, -0.0012178657
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.302653121657203, 1.7849834950011494, 6.087636616658353, 4.2960165049988515, 1.7849834950011494, 6.081, 6.087636083049823, 4.302653121657203, 1.7849834950011494, 6.087636616658353, 4.2960165049988515, 1.7849834950011494, 6.081, 6.087636083049823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 3.0531058, -1.1547804, 2.0096107, -0.085722305, 2.4740229, -2.1293623, 1.8590975, -0.76787996, 0.0023498114, -0.00045920565, 0.0020510429, -0.001235195, 0.001447012, -0.00014576095, 0.0013098934, -0.0006318778, -0.0029872674, -0.0009058789, -0.003116942, 0.00017045799, -0.0029390457, -0.0009178396, -0.0030757193, 0.00014272582, -0.00063745613, -0.0013650846, -0.0010658993, -0.001064737, -0.0014920337, -0.0010636005, -0.0017658259, -0.000489152
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.193046994972745, 3.368277907114169, 7.561324902086914, 4.180722092885832, 3.368277907114169, 7.549, 7.561325702499707, 4.193046994972745, 3.368277907114169, 7.561324902086914, 4.180722092885832, 3.368277907114169, 7.549, 7.561325702499707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.588596, -1.3490632, 2.087287, 0.123669334, 2.4332838, -2.962621, 1.8694782, -0.9365427, 0.002604804, -0.0004648317, 0.00202341, -0.0017049582, 0.001551182, -0.00012481678, 0.0012809546, -0.0008836854, -0.008236572, -0.0011307722, -0.0076984665, 0.0031390088, -0.00818073, -0.0011445053, -0.0076569724, 0.0030991943, -0.005631768, -0.0015956039, -0.0056750565, 0.0014340506, -0.006629548, -0.0012693221, -0.006376018, 0.0022155088
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.5283882134298463, 5.279624170628786, 8.808012384058632, 3.5083758293712144, 5.279624170628786, 8.788, 8.808010783233046, 3.5283882134298463, 5.279624170628786, 8.808012384058632, 3.5083758293712144, 5.279624170628786, 8.788, 8.808010783233046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 4.1074157, -1.4391093, 2.0336568, 0.30920607, 2.2214212, -3.7426176, 1.7566253, -1.0703439, 0.002797217, -0.00044878572, 0.0018543191, -0.0021418072, 0.0016090563, -0.000111815985, 0.0011607343, -0.0011199368, -0.014552564, -0.0012602765, -0.011958001, 0.008388781, -0.014489624, -0.0012745842, -0.0119189825, 0.008337363, -0.011755347, -0.0017090623, -0.010103682, 0.0062469738, -0.012880567, -0.0013864002, -0.010758248, 0.007217426
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.509378950942421, 7.101338075108736, 9.610717026051157, 2.481661924891264, 7.101338075108736, 9.583, 9.610715425225571, 2.509378950942421, 7.101338075108736, 9.610717026051157, 2.481661924891264, 7.101338075108736, 9.583, 9.610715425225571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.544317, -1.3828025, 1.8682264, 0.4312508, 1.8617424, -4.369997, 1.5312301, -1.1539418, 0.0029112324, -0.00040450052, 0.0015614396, -0.0024901414, 0.0016221311, -0.000105625484, 0.00096177217, -0.001310519, -0.021876521, -0.001293905, -0.0150531465, 0.015926681, -0.021807881, -0.0013070997, -0.015019133, 0.015865618, -0.018965289, -0.0016984055, -0.013491707, 0.01343654, -0.02018575, -0.0014127252, -0.014057361, 0.014555099
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.8781053280559048, 6.443245079709777, 7.3213504077656815, 0.8527549202902236, 6.443245079709777, 7.296, 7.321345938794252, 0.8781053280559048, 6.443245079709777, 7.3213504077656815, 0.8527549202902236, 6.443245079709777, 7.296, 7.321345938794252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.1717405, -1.1547089, 1.36617, 0.3338735, 1.0858628, -4.190188, 0.97222793, -1.0162013, 0.0025204383, -0.0003909131, 0.00092167873, -0.0023782216, 0.0013646483, -0.0001563098, 0.00054695643, -0.0012599751, -0.023819517, -0.0013273859, -0.013059308, 0.019964617, -0.02375703, -0.0013386633, -0.013037831, 0.01990486, -0.021299079, -0.001718299, -0.012137629, 0.017586395, -0.022392381, -0.0014949731, -0.012490874, 0.018644884
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.6001541815366077, 9.26513026478114, 9.865284446317748, 0.5628697352188592, 9.26513026478114, 9.828, 9.865292583847813, 0.6001541815366077, 9.26513026478114, 9.865284446317748, 0.5628697352188592, 9.26513026478114, 9.828, 9.865292583847813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.040696, -0.8939843, 1.39433, 0.41903552, 0.88394916, -5.0424657, 0.87065357, -1.166923, 0.0029435083, -0.0002621517, 0.00076039694, -0.002855651, 0.0015737191, -0.00011405023, 0.00043107197, -0.0015178211, -0.038360465, -0.0011633759, -0.014213268, 0.035649147, -0.038286068, -0.0011701279, -0.014194167, 0.03557693, -0.035416957, -0.0014255276, -0.013452871, 0.032793496, -0.03671235, -0.0012841781, -0.013763095, 0.034059107
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.046076037591716155, 9.116093402657347, 9.162169440249063, 0.007906597342653754, 9.116093402657347, 9.124, 9.162166230260256, 0.046076037591716155, 9.116093402657347, 9.162169440249063, 0.007906597342653754, 9.116093402657347, 9.124, 9.162166230260256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 4.990863, -0.6510214, 1.132833, 0.20843692, 0.22552353, -5.028089, 0.40198472, -1.079428, 0.002833508, -0.0002780786, 0.00021817908, -0.0028387494, 0.0015070774, -0.0001868913, 7.764809e-05, -0.0015166365, -0.04674136, -0.0010776554, -0.009177837, 0.04584412, -0.04666816, -0.0010818364, -0.009169243, 0.04577131, -0.04390785, -0.001355734, -0.0089596575, 0.04300537, -0.045161083, -0.0012687277, -0.009091595, 0.04425467
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 5.2726606522808373e-05, 7.5170335265577615, 7.517086253164284, -0.027033526557761256, 7.5170335265577615, 7.49, 7.5170863538021235, 5.2726606522808373e-05, 7.5170335265577615, 7.517086253164284, -0.027033526557761256, 7.5170335265577615, 7.49, 7.5170863538021235, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 4.5814, -0.05737866, 0.98166937, 0.03303527, -0.057378862, -4.5814, 0.033035226, -0.98166937, 0.0025691949, -1.9283034e-06, -1.9284198e-06, -0.0025691949, 0.0013743825, -5.637994e-07, -5.637994e-07, -0.0013743825, -0.054429915, -0.000982858, -0.0009828557, 0.054429915, -0.05436026, -0.000981827, -0.0009818247, 0.05436026, -0.05186072, -0.0009847863, -0.0009847841, 0.05186072, -0.052985877, -0.0009823908, -0.0009823885, 0.052985877
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00010918934396550582, 5.228307038403776, 5.228416227747742, -0.016307038403776453, 5.228307038403776, 5.212, 5.228412692892499, 0.00010918934396550582, 5.228307038403776, 5.228416227747742, -0.016307038403776453, 5.228307038403776, 5.212, 5.228412692892499, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 3.776921, 0.57559294, 0.8164178, 0.08903486, -0.08900714, -3.8194919, -0.05408726, -0.8194753, 0.0021108575, 0.00037033856, -1.8337741e-06, -0.0021431, 0.0011292174, 0.00019859802, -5.0570816e-07, -0.0011465438, -0.060811542, -0.0009022335, 0.009671288, 0.06004435, -0.060754247, -0.00089062384, 0.009672772, 0.059985906, -0.058700684, -0.00053189497, 0.009669454, 0.05790125, -0.05962503, -0.0006920258, 0.009672266, 0.058839362
