deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.6669866255111567, 0.7588276134860698, 4.425814238997226, 3.6641723865139304, 0.7588276134860698, 4.423, 4.425814238997226, 3.6669866255111567, 0.7588276134860698, 4.425814238997226, 3.6641723865139304, 0.7588276134860698, 4.423, 4.425814238997226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.4924104, -0.9440133, 1.7692063, -0.28122523, 2.290619, -1.3624742, 1.6934938, -0.58417225, 0.0020040306, -0.00045904797, 0.0018938719, -0.00080007024, 0.0012687353, -0.00018360576, 0.0012175775, -0.00040112995, 0.0018357032, -0.000602463, 0.0017031981, -0.0009120768, 0.0018754824, -0.00061277015, 0.0017405831, -0.0009291349, 0.0038397338, -0.001061511, 0.00359707, -0.001712147, 0.0031442177, -0.0007963759, 0.0029581606, -0.0013302648
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.000368158899479, 1.7711407559463699, 5.77150891484585, 3.99385924405363, 1.7711407559463699, 5.765, 5.771509315052246, 4.000368158899479, 1.7711407559463699, 5.77150891484585, 3.99385924405363, 1.7711407559463699, 5.765, 5.771509315052246, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 2.967479, -1.1804717, 1.9453839, -0.095700406, 2.384773, -2.124218, 1.7953315, -0.7552895, 0.0022793666, -0.00048036047, 0.0019776109, -0.0012309805, 0.0014016519, -0.00016100588, 0.0012620547, -0.0006306892, -0.0012896834, -0.001019642, -0.001560644, -0.00051705237, -0.0012427315, -0.0010323079, -0.0015208557, -0.0005450129, 0.0009896832, -0.0015000025, 0.0004169669, -0.0017480329, 0.00015892037, -0.0011933137, -0.00025880104, -0.0011757021
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.3663019547316257, 3.0125846003066483, 6.3788865550382745, 3.3544153996933517, 3.0125846003066483, 6.367, 6.378886555038274, 3.3663019547316257, 3.0125846003066483, 6.3788865550382745, 3.3544153996933517, 3.0125846003066483, 6.367, 6.378886555038274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.2901459, -1.3413812, 1.8913456, 0.086290605, 2.1786594, -2.8067431, 1.6810986, -0.87094295, 0.002376599, -0.0004908459, 0.0018127721, -0.0016133845, 0.0014109858, -0.0001526695, 0.0011456152, -0.0008377086, -0.005210853, -0.0012908155, -0.005158139, 0.0014875475, -0.0051594316, -0.0013051821, -0.00512079, 0.001449395, -0.0028342542, -0.0017816614, -0.0033453668, -0.00012583693, -0.0037484458, -0.0014578516, -0.003975175, 0.0006116864
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 2.571293014943, 4.775757913905772, 7.3470509288487715, 2.5532420860942278, 4.775757913905772, 7.329, 7.3470514624573005, 2.571293014943, 4.775757913905772, 7.3470509288487715, 2.5532420860942278, 4.775757913905772, 7.329, 7.3470514624573005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 3.7436435, -1.5171931, 1.7977475, 0.21398097, 1.8925644, -3.568605, 1.5146987, -0.991651, 0.002522652, -0.0005446336, 0.0015823795, -0.0020387429, 0.0014420324, -0.00018511189, 0.0009856732, -0.0010687248, -0.008358063, -0.0017112416, -0.0075026127, 0.0040615723, -0.008300117, -0.0017277519, -0.007468836, 0.004011678, -0.005835411, -0.0022558752, -0.005920233, 0.0020228294, -0.006858085, -0.0019128638, -0.0064831628, 0.0029429533
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.456507691623336, 6.406173160772474, 7.86268085239581, 1.4318268392275257, 6.406173160772474, 7.838, 7.862681119200075, 1.456507691623336, 6.406173160772474, 7.86268085239581, 1.4318268392275257, 6.406173160772474, 7.838, 7.862681119200075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.0974646, -1.5971395, 1.5788399, 0.24249536, 1.4103197, -4.1654615, 1.2006209, -1.0535885, 0.0025778543, -0.00061160047, 0.0011884999, -0.0023678797, 0.0014215754, -0.00025134836, 0.0007212274, -0.0012505539, -0.012394241, -0.0019835636, -0.009486362, 0.008219529, -0.012331345, -0.0020012509, -0.009459483, 0.008159979, -0.009816387, -0.002595164, -0.0082978625, 0.005851649, -0.01090977, -0.0022525992, -0.008738256, 0.0069094254
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.60771461397843, 7.099049961736783, 7.706764575715212, 0.5789500382632173, 7.099049961736783, 7.678, 7.706767110355725, 0.60771461397843, 7.099049961736783, 7.706764575715212, 0.5789500382632173, 7.099049961736783, 7.678, 7.706767110355725, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.265484, -1.4291326, 1.3223934, 0.21458669, 0.8950765, -4.4085836, 0.8470342, -1.037933, 0.0025465079, -0.00058563135, 0.00076608174, -0.0024981555, 0.0013701487, -0.0002798998, 0.00044267438, -0.001326533, -0.018022621, -0.0018253793, -0.010592135, 0.014695358, -0.01795782, -0.001840822, -0.010573108, 0.014631517, -0.015476113, -0.0024110107, -0.009826053, 0.012197203, -0.01658767, -0.0021207219, -0.010130433, 0.013304984
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.012615223702032176, 11.918501876423594, 11.931117100125626, -0.03850187642359337, 11.918501876423594, 11.88, 11.93111744926402, 0.012615223702032176, 11.918501876423594, 11.931117100125626, -0.03850187642359337, 11.918501876423594, 11.88, 11.93111744926402, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.4505224, -1.8555121, 1.269324, -0.07660385, 0.120577455, -5.7564383, 0.36215028, -1.2189744, 0.003097063, -0.0009816196, 0.00013683736, -0.0032460205, 0.0016365591, -0.00057944213, 1.5237369e-05, -0.0017360449, -0.024465756, -0.0022329758, -0.010466092, 0.022226568, -0.02438265, -0.002253902, -0.010457332, 0.022141317, -0.021368694, -0.0032145954, -0.010329255, 0.018980548, -0.022746092, -0.002833344, -0.010442095, 0.020405272
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 7.878514649019098e-05, 17.36122882999817, 17.361307615144657, -0.07122882999816937, 17.36122882999817, 17.29, 17.361300333541042, 7.878514649019098e-05, 17.36122882999817, 17.361307615144657, -0.07122882999816937, 17.36122882999817, 17.29, 17.361300333541042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.844655, -1.2694616, 1.4921511, -0.16270189, -0.06161344, -6.961109, 0.09887932, -1.4977348, 0.0038435832, -0.00068133534, -3.5529956e-06, -0.0039035045, 0.002056837, -0.0003635115, -8.2328916e-07, -0.0020887144, -0.036011655, -0.0014258649, -0.0076575624, 0.035216957, -0.03590527, -0.0014407694, -0.0076537672, 0.035109602, -0.03216807, -0.0021072002, -0.0076611154, 0.031313453, -0.033848435, -0.0018042809, -0.0076545905, 0.033020888
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.21190715671688e-05, 14.333855269312856, 14.333867388384423, -0.05385526931285689, 14.333855269312856, 14.28, 14.33386807591755, 1.21190715671688e-05, 14.333855269312856, 14.333867388384423, -0.05385526931285689, 14.333855269312856, 14.28, 14.33386807591755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 6.3265886, -0.04239354, 1.3565071, 0.11781705, -0.042393815, -6.3265886, 0.11781699, -1.3565071, 0.0035474114, -2.6625967e-06, -2.6627495e-06, -0.0035474114, 0.0018977299, -7.7851837e-07, -7.786002e-07, -0.0018977299, -0.046302147, -3.3321343e-05, -3.331932e-05, 0.046302147, -0.04620536, -2.8724806e-05, -2.8722787e-05, 0.04620536, -0.042754736, -3.598394e-05, -3.598207e-05, 0.042754736, -0.04430763, -2.9503324e-05, -2.9501387e-05, 0.04430763
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.0002917121621772295, 20.11834994791606, 20.118641660078236, -0.06834994791605808, 20.11834994791606, 20.05, 20.118655171994597, 0.0002917121621772295, 20.11834994791606, 20.118641660078236, -0.06834994791605808, 20.11834994791606, 20.05, 20.118655171994597, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 7.401867, 1.1686951, 1.587194, 0.25386375, -0.13438082, -7.4923577, -0.025606394, -1.6071639, 0.0041408315, 0.0007264862, -3.5995618e-06, -0.004204072, 0.0022151396, 0.00038958085, -9.927899e-07, -0.0022491366, -0.07680681, -0.00016796328, 0.013171953, 0.07566911, -0.07669474, -0.00014387605, 0.013176213, 0.07555456, -0.07266598, 0.00055852294, 0.013168354, 0.07146504, -0.0744796, 0.00024570478, 0.01317522, 0.07330542
