deltatheta,Rf,L,L/Rf,phiCZ [deg],G0,GI/G0,GII/G0,GTOT/G0,GIv2/G0,GIIv2/G0,GTOTv2/G0,GTOTequiv/G0,GI,GII,GTOT,GIv2,GIIv2,GTOTv2,GTOTequiv,np.min(uR),np.max(uR),np.mean(uR),np.min(uTheta),np.max(uTheta),np.mean(uTheta),phiSZ [deg],xRFcracktip,yRFcracktip,xRFfirstbounded,yRFfirstbounded,rRFcracktip,thetaRFcracktip,rRFfirstbounded,thetaRFfirstbounded,xcracktipDisplacement,ycracktipDisplacement,rcracktipDisplacement,thetacracktipDisplacement,xfirstboundedDisplacement,yfirstboundedDisplacement,rfirstboundedDisplacement,thetafirstboundedDisplacement,xfiberCracktipDisplacement,yfiberCracktipDisplacement,rfiberCracktipDisplacement,thetafiberCracktipDisplacement,xfiberFirstboundedDisplacement,yfiberFirstboundedDisplacement,rfiberFirstboundedDisplacement,thetafiberFirstboundedDisplacement,xmatrixracktipDisplacement,ymatrixCracktipDisplacement,rmatrixCracktipDisplacement,thetamatrixCracktipDisplacement,xmatrixFirstboundedDisplacement,ymatrixFirstboundedDisplacement,rmatrixFirstboundedDisplacement,thetamatrixFirstboundedDisplacement
10.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.7282203386373785, 0.7590191789479475, 4.487239517585326, 3.7249808210520525, 0.7590191789479475, 4.484, 4.487240051193855, 3.7282203386373785, 0.7590191789479475, 4.487239517585326, 3.7249808210520525, 0.7590191789479475, 4.484, 4.487240051193855, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.000000562866568, 2.5111995, -0.94014245, 1.7830445, -0.2811539, 2.3097947, -1.3619249, 1.707134, -0.58650494, 0.0020195418, -0.00045629742, 0.001909625, -0.00080005487, 0.0012788251, -0.00018158264, 0.0012278652, -0.00040088978, 0.0012967925, -0.0005791121, 0.0011765296, -0.0007954998, 0.0013368656, -0.00058926415, 0.0012142309, -0.0008124561, 0.0033163342, -0.0010354095, 0.0030861546, -0.0015955546, 0.0026156907, -0.0007708468, 0.0024420961, -0.0012133459
20.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.387301577031875, 1.7874244872166356, 6.17472606424851, 4.3805755127833645, 1.7874244872166356, 6.168, 6.174726331052775, 4.387301577031875, 1.7874244872166356, 6.17472606424851, 4.3805755127833645, 1.7874244872166356, 6.168, 6.174726331052775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.000001125733135, 3.0762603, -1.1469525, 2.0270977, -0.082835205, 2.4984584, -2.1299257, 1.8765174, -0.7711479, 0.0023689289, -0.0004529695, 0.0020711403, -0.0012358734, 0.0014593501, -0.00014134549, 0.0013229975, -0.0006319484, -0.0030822787, -0.00089400675, -0.003202163, 0.00021410984, -0.0030336862, -0.00090578274, -0.0031605284, 0.00018642447, -0.0007133498, -0.0013469763, -0.0011310226, -0.0010217637, -0.0015743361, -0.0010471282, -0.0018375309, -0.00044552394
30.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.487030876650524, 3.428291524339045, 7.915322400989568, 4.473708475660955, 3.428291524339045, 7.902, 7.915322667793832, 4.487030876650524, 3.428291524339045, 7.915322400989568, 4.473708475660955, 3.428291524339045, 7.902, 7.915322667793832, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000000834826057, 3.6738052, -1.3272991, 2.1483736, 0.14054702, 2.517959, -2.9863772, 1.9308196, -0.9524695, 0.0026725945, -0.0004425794, 0.0020932453, -0.0017195822, 0.0015937686, -0.00010810082, 0.0013261931, -0.0008905025, -0.008568218, -0.0010998221, -0.0079702055, 0.0033316351, -0.008511061, -0.0011130084, -0.007927299, 0.003291637, -0.0058956235, -0.0015424015, -0.0058769602, 0.0016120529, -0.0069172923, -0.0012211092, -0.0066011054, 0.0024011345
40.0, 1.0, 1.144, 1.144, 0.0, 1.0, 4.132697737983187, 5.587244685067053, 9.71994242305024, 4.111755314932947, 5.587244685067053, 9.699, 9.719939755007596, 4.132697737983187, 5.587244685067053, 9.71994242305024, 4.111755314932947, 5.587244685067053, 9.699, 9.719939755007596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 40.00000225146627, 4.314926, -1.3988727, 2.1672027, 0.36201304, 2.4062471, -3.84518, 1.892871, -1.115733, 0.0029531857, -0.00039691757, 0.002007139, -0.0022023278, 0.0017037867, -7.17378e-05, 0.0012590643, -0.001150127, -0.015449059, -0.0012014912, -0.01260697, 0.009010069, -0.015382997, -0.0012146947, -0.01256485, 0.008957489, -0.0124958735, -0.0015984088, -0.010599831, 0.0068077412, -0.01367921, -0.0012864325, -0.011305786, 0.0078073624
50.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.0011280251910097, 7.585893572779126, 10.587021597970136, 2.9741064272208746, 7.585893572779126, 10.56, 10.587020530753078, 3.0011280251910097, 7.585893572779126, 10.587021597970136, 2.9741064272208746, 7.585893572779126, 10.56, 10.587020530753078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.0000002530119, 4.766754, -1.3385384, 1.9936299, 0.4989617, 2.0386307, -4.5119414, 1.6637075, -1.2064828, 0.0030686855, -0.0003453336, 0.001707973, -0.0025727255, 0.0017146133, -6.0884748e-05, 0.0010554921, -0.0013526054, -0.02297041, -0.0012311346, -0.0157082, 0.016804997, -0.022898493, -0.0012431528, -0.015671179, 0.01674218, -0.019901725, -0.0015764682, -0.014000228, 0.014232271, -0.02118388, -0.0013040375, -0.014615687, 0.015389574
60.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.4597016054731102, 7.421959961353829, 8.881661566826939, 1.431040038646171, 7.421959961353829, 8.853, 8.881658898784295, 1.4597016054731102, 7.421959961353829, 8.881661566826939, 1.431040038646171, 7.421959961353829, 8.853, 8.881658898784295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 60.000001669652114, 4.5902467, -1.0237062, 1.5779113, 0.4928075, 1.4085674, -4.4871235, 1.2157394, -1.1201077, 0.0028032903, -0.000245195, 0.0011893008, -0.0025503188, 0.0015264209, -5.2632997e-05, 0.00071762875, -0.0013482347, -0.025973521, -0.0012010508, -0.014026901, 0.021893205, -0.025905002, -0.0012094625, -0.013999925, 0.02182966, -0.02317023, -0.0014462458, -0.0128376, 0.019342886, -0.024378581, -0.0012620955, -0.013282296, 0.020481424
70.0, 1.0, 1.144, 1.144, 0.0, 1.0, 1.379063084791044, 12.081589718330575, 13.460652803121619, 1.3284102816694254, 12.081589718330575, 13.41, 13.460664675911387, 1.379063084791044, 12.081589718330575, 13.460652803121619, 1.3284102816694254, 12.081589718330575, 13.41, 13.460664675911387, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.99999967119774, 5.8612185, -0.68973583, 1.7158126, 0.69544953, 1.3565152, -5.7436476, 1.2403512, -1.3744786, 0.0034560226, -3.002229e-05, 0.0011538174, -0.0032578632, 0.0018553734, 4.688988e-05, 0.00067863706, -0.0017274432, -0.04432545, -0.0009462092, -0.016049342, 0.041328672, -0.04423935, -0.00094830774, -0.016021866, 0.04124705, -0.040869426, -0.0009762315, -0.014895525, 0.03807081, -0.042383976, -0.00090141786, -0.015343229, 0.039519608
80.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.3751471729974917, 12.987737041694414, 13.362884214691906, 0.32226295830558627, 12.987737041694414, 13.31, 13.362888383508539, 0.3751471729974917, 12.987737041694414, 13.362884214691906, 0.32226295830558627, 12.987737041694414, 13.31, 13.362888383508539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.99999767274336, 6.0120273, -0.36600032, 1.4525263, 0.5295525, 0.6835379, -5.9842463, 0.77373606, -1.3385032, 0.0034375489, 4.292873e-06, 0.0006011529, -0.003384579, 0.0018306337, -2.7765054e-06, 0.0003151521, -0.0018033013, -0.055663582, -0.00081768, -0.01047114, 0.054675937, -0.05557599, -0.000815852, -0.010454129, 0.05458999, -0.052226033, -0.0008133871, -0.009869987, 0.051291358, -0.053745355, -0.0008186285, -0.010138977, 0.05278669
90.0, 1.0, 1.144, 1.144, 0.0, 1.0, 3.8283497034340444e-07, 9.428187157393443, 9.428187540228414, -0.040187157393443584, 9.428187157393443, 9.388, 9.428186090176386, 3.8283497034340444e-07, 9.428187157393443, 9.428187540228414, -0.040187157393443584, 9.428187157393443, 9.388, 9.428186090176386, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.00000250447816, 5.1298666, -0.029736504, 1.0965971, 0.102779806, -0.029736727, -5.1298666, 0.10277976, -1.0965971, 0.0028786585, -2.1606102e-06, -2.1607848e-06, -0.0028786585, 0.0015394501, -6.315531e-07, -6.3166954e-07, -0.0015394501, -0.060767695, -0.00084168947, -0.0008416868, 0.060767695, -0.060690377, -0.0008404647, -0.00084046205, 0.060690377, -0.057889037, -0.0008438501, -0.0008438476, 0.057889037, -0.059150927, -0.0008410963, -0.0008410937, 0.059150927
100.0, 1.0, 1.144, 1.144, 0.0, 1.0, 0.00013033154636845931, 8.30794435284438, 8.308074684390748, -0.026944352844379793, 8.30794435284438, 8.281, 8.308091095189829, 0.00013033154636845931, 8.30794435284438, 8.308074684390748, -0.026944352844379793, 8.30794435284438, 8.281, 8.308091095189829, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0000005060238, 4.7574544, 0.7463115, 1.022047, 0.15361142, -0.091150045, -4.8147736, -0.026198909, -1.0331942, 0.002660811, 0.0004668248, -2.312474e-06, -0.0027014464, 0.0014234334, 0.00025034294, -6.3702464e-07, -0.0014452711, -0.075847544, -0.00060300116, 0.012576949, 0.074799955, -0.07577552, -0.0005883934, 0.012578828, 0.074726485, -0.07318673, -0.00013617636, 0.012574636, 0.07209851, -0.074352086, -0.00033805048, 0.012578191, 0.07328121
